TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        7247.00000        8.88834
TAB:  US_Louisiana_Orleans Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Louisiana_Orleans Confirmed .            20        0     7247        0        0        0        0        0
TAB:  US_Louisiana_Orleans Confirmed 2/12/2020    21        0     7247        0        0        0        0        0
TAB:  US_Louisiana_Orleans Confirmed .            22        0     7247        0        0        0        0        0
TAB:  US_Louisiana_Orleans Confirmed 2/14/2020    23        0     7247        0        0        0        0        0
TAB:  US_Louisiana_Orleans Confirmed .            24        0     7247        0        0        0        0        0
TAB:  US_Louisiana_Orleans Confirmed 2/16/2020    25        0     7247        0        0        0        0        0
TAB:  US_Louisiana_Orleans Confirmed .            26        0     7247        0        0        0        0        0
TAB:  US_Louisiana_Orleans Confirmed 2/18/2020    27        0     7247        0        0        0        0        0
TAB:  US_Louisiana_Orleans Confirmed .            28        0     7247        0        0        0        0        0
TAB:  US_Louisiana_Orleans Confirmed 2/20/2020    29        0     7247        0        0        0        0        0
TAB:  US_Louisiana_Orleans Confirmed .            30        0     7247        0        0        0        0        0
TAB:  US_Louisiana_Orleans Confirmed 2/22/2020    31        0     7247        0        0        0        0        0
TAB:  US_Louisiana_Orleans Confirmed .            32        0     7247        0        0        0        0        0
TAB:  US_Louisiana_Orleans Confirmed 2/24/2020    33        0     7247        0        0        0        0        0
TAB:  US_Louisiana_Orleans Confirmed .            34        0     7247        0        0        0        0        0
TAB:  US_Louisiana_Orleans Confirmed 2/26/2020    35        0     7247        0        0        0        0        0
TAB:  US_Louisiana_Orleans Confirmed .            36        0     7247        0        0        0        0        0
TAB:  US_Louisiana_Orleans Confirmed 2/28/2020    37        0     7247        0        0        0        0        0
TAB:  US_Louisiana_Orleans Confirmed .            38        0     7247        0        0        0        0        0
TAB:  US_Louisiana_Orleans Confirmed 3/1/2020     39        0     7247        0        0        0        0        0
TAB:  US_Louisiana_Orleans Confirmed .            40        0     7247        0        0        0        0        0
TAB:  US_Louisiana_Orleans Confirmed 3/3/2020     41        0     7247        0        0        0        0        0
TAB:  US_Louisiana_Orleans Confirmed .            42        0     7247        0        0        0        0        0
TAB:  US_Louisiana_Orleans Confirmed 3/5/2020     43        0     7247        0        0        0        0        0
TAB:  US_Louisiana_Orleans Confirmed .            44        0     7247        0        0        0        0        0
TAB:  US_Louisiana_Orleans Confirmed 3/7/2020     45        0     7247        0        0        0        0        0
TAB:  US_Louisiana_Orleans Confirmed .            46        0     7247        0        0        0        0        0
TAB:  US_Louisiana_Orleans Confirmed 3/9/2020     47        0     7247        0        0        0        0        0
TAB:  US_Louisiana_Orleans Confirmed .            48        0     7247        0        0        0        0        0
TAB:  US_Louisiana_Orleans Confirmed 3/11/2020    49        5     7247        0        0        0        0        0
TAB:  US_Louisiana_Orleans Confirmed .            50       14     7247        0        0        0        0        0
TAB:  US_Louisiana_Orleans Confirmed 3/13/2020    51       26     7247        0        0        0        0        0
TAB:  US_Louisiana_Orleans Confirmed .            52       53     7247        0        0        0        0        0
TAB:  US_Louisiana_Orleans Confirmed 3/15/2020    53       66     7247        0        0        0        0        0
TAB:  US_Louisiana_Orleans Confirmed .            54       79     7247        0        0        0        0        0
TAB:  US_Louisiana_Orleans Confirmed 3/17/2020    55      136     7247        0        0        0        0        0
TAB:  US_Louisiana_Orleans Confirmed .            56      187     7247        0        0        0        0        0
TAB:  US_Louisiana_Orleans Confirmed 3/19/2020    57      231     7247     1472        1     1472     2811     2811
TAB:  US_Louisiana_Orleans Confirmed .            58      326     7247     3079        1     3079     8433     6559
TAB:  US_Louisiana_Orleans Confirmed 3/21/2020    59      418     7247     2008        1     2008    10843     7095
TAB:  US_Louisiana_Orleans Confirmed .            60      451     7247     1687        2     1397     3454     2586
TAB:  US_Louisiana_Orleans Confirmed 3/23/2020    61      567     7247     1825        2     1484     2941     1879
TAB:  US_Louisiana_Orleans Confirmed .            62      675     7247     2034        1     2034     2981     2483
TAB:  US_Louisiana_Orleans Confirmed 3/25/2020    63      827     7247     2543        1     2543     5488     3882
TAB:  US_Louisiana_Orleans Confirmed .            64      997     7247     3346        1     3346    12985     5220
TAB:  US_Louisiana_Orleans Confirmed 3/27/2020    65     1170     7247     3882        1     3882    22356     7630
TAB:  US_Louisiana_Orleans Confirmed .            66     1298     7247     3614        1     3614    12182     6024
TAB:  US_Louisiana_Orleans Confirmed 3/29/2020    67     1350     7247     1596        1     1596     5757     4537
TAB:  US_Louisiana_Orleans Confirmed .            68     1480     7247     1831        1     1831     4316     3562
TAB:  US_Louisiana_Orleans Confirmed 3/31/2020    69     1834     7247     4403        1     4403     7613     5834
TAB:  US_Louisiana_Orleans Confirmed .            70     2270     7247     6291        1     6291    18875     9504
TAB:  US_Louisiana_Orleans Confirmed 4/2/2020     71     3148     7247    18607        1    18607    38152    36546
TAB:  US_Louisiana_Orleans Confirmed .            72     3476     7247    -            1    26640    38152    38152
TAB:  US_Louisiana_Orleans Confirmed 4/4/2020     73     3966     7247     7362        1     7362    51539    34404
TAB:  US_Louisiana_Orleans Confirmed .            74     4066     7247     4417        1     4417    48327     6827
TAB:  US_Louisiana_Orleans Confirmed 4/6/2020     75     4565     7247     5756        1     5756    46988    23427
TAB:  US_Louisiana_Orleans Confirmed .            76     4942     7247     6291        2     6291    43775    16733
TAB:  US_Louisiana_Orleans Confirmed 4/8/2020     77     5070     7247     6024        3     6024    49398     8701
TAB:  US_Louisiana_Orleans Confirmed .            78     5242     7247     5756        4     5756    37349    20214
TAB:  US_Louisiana_Orleans Confirmed 4/10/2020    79     5416     7247     6046        6     5817    43007    25211
TAB:  US_Louisiana_Orleans Confirmed .            80     5535     7247     5989        8     5989    26128    18888
TAB:  US_Louisiana_Orleans Confirmed 4/12/2020    81     5600     7247     5890        6     5890    18412    14424
TAB:  US_Louisiana_Orleans Confirmed .            82     5651     7247     5902        6     5752    14774    10188
TAB:  US_Louisiana_Orleans Confirmed 4/14/2020    83     5718     7247     5871        8     5871    12465    10205
TAB:  US_Louisiana_Orleans Confirmed .            84     5769     7247     5923       10     5868    10837     6032
TAB:  US_Louisiana_Orleans Confirmed 4/16/2020    85     5847     7247     6024       11     6024     9772     8969
TAB:  US_Louisiana_Orleans Confirmed .            86     5906     7247     6024       10     6024     8701     7898
TAB:  US_Louisiana_Orleans Confirmed 4/18/2020    87     5953     7247     6146        6     6061    15471     6824
TAB:  US_Louisiana_Orleans Confirmed .            88     6000     7247     6125        8     6125     7314     6561
TAB:  US_Louisiana_Orleans Confirmed 4/20/2020    89     6148     7247     6559        4     6559     7095     6827
TAB:  US_Louisiana_Orleans Confirmed .            90     6169     7247     6559        6     6559     6827     6827
TAB:  US_Louisiana_Orleans Confirmed 4/22/2020    91     6209     7247     6559        7     6291     6827     6559
TAB:  US_Louisiana_Orleans Confirmed .            92     6263     7247     6559        9     6291    16733     6827
TAB:  US_Louisiana_Orleans Confirmed 4/24/2020    93     6286     7247     6496        4     6347     8867     6644
TAB:  US_Louisiana_Orleans Confirmed .            94     6297     7247     6354        4     6354     7183     6618
TAB:  US_Louisiana_Orleans Confirmed 4/26/2020    95     6342     7247     6487        5     6416     6838     6627
TAB:  US_Louisiana_Orleans Confirmed .            96     6365     7247     6499        7     6499     6772     6636
TAB:  US_Louisiana_Orleans Confirmed 4/28/2020    97     6380     7247     6559       21     6559     6559     6559
TAB:  US_Louisiana_Orleans Confirmed .            98     6420     7247     6559       19     6559     6827     6827
TAB:  US_Louisiana_Orleans Confirmed 4/30/2020    99     6452     7247     6559       17     6559     8701     7095
TAB:  US_Louisiana_Orleans Confirmed .           100     6495     7247     6559        9     6559     8969     8701
TAB:  US_Louisiana_Orleans Confirmed 5/2/2020    101     6524     7247     6827       10     6559    11646     6827
TAB:  US_Louisiana_Orleans Confirmed .           102     6538     7247     6827       11     6559     9237     7362
TAB:  US_Louisiana_Orleans Confirmed 5/4/2020    103     6557     7247     6827       13     6559    12182     7898
TAB:  US_Louisiana_Orleans Confirmed .           104     6575     7247     6817       11     6635     7775     6909
TAB:  US_Louisiana_Orleans Confirmed 5/6/2020    105     6608     7247     6827       15     6559     7898     7362
TAB:  US_Louisiana_Orleans Confirmed .           106     6626     7247     6827       14     6559     7630     7095
TAB:  US_Louisiana_Orleans Confirmed 5/8/2020    107     6645     7247     6827       13     6559    16733     7095
TAB:  US_Louisiana_Orleans Confirmed .           108     6674     7247     6827       12     6827    10843     7362
TAB:  US_Louisiana_Orleans Confirmed 5/10/2020   109     6682     7247     7095       17     6827    28514     7362
TAB:  US_Louisiana_Orleans Confirmed .           110     6693     7247     6971       12     6751     7190     6971
TAB:  US_Louisiana_Orleans Confirmed 5/12/2020   111     6718     7247     6971       13     6751     7264     7044
TAB:  US_Louisiana_Orleans Confirmed .           112     6753     7247     7095       16     6827    12985     8969
TAB:  US_Louisiana_Orleans Confirmed 5/14/2020   113     6768     7247     7095       13     6827    29585    10307
TAB:  US_Louisiana_Orleans Confirmed .           114     6774     7247     7095       16     6827     8969     7898
TAB:  US_Louisiana_Orleans Confirmed 5/16/2020   115     6781     7247     7027        9     6837     7560     7179
TAB:  US_Louisiana_Orleans Confirmed .           116     6809     7247     7027        8     6875     7560     7179
TAB:  US_Louisiana_Orleans Confirmed 5/18/2020   117     6822     7247     7095       23     6827     7362     7095
TAB:  US_Louisiana_Orleans Confirmed .           118     6869     7247     7095       11     7095    15395     7898
TAB:  US_Louisiana_Orleans Confirmed 5/20/2020   119     6884     7247     7095        7     7095    22356     8433
TAB:  US_Louisiana_Orleans Confirmed .           120     6904     7247     7630        8     7095    33065     8166
TAB:  US_Louisiana_Orleans Confirmed 5/22/2020   121     6944     7247     7362        6     7095    14056     8166
TAB:  US_Louisiana_Orleans Confirmed .           122     6944     7247     7362        7     7095    13520     8166
TAB:  US_Louisiana_Orleans Confirmed 5/24/2020   123     6953     7247     7362        8     7095    11378     8166
TAB:  US_Louisiana_Orleans Confirmed .           124     7005     7247     7362        6     7362    24230     8701
TAB:  US_Louisiana_Orleans Confirmed 5/26/2020   125     7021     7247     7362        5     7362    12182     8701
TAB:  US_Louisiana_Orleans Confirmed .           126     7045     7247     7362        5     7362    15395     8701
TAB:  US_Louisiana_Orleans Confirmed 5/28/2020   127     7067     7247     7630        4     7095    29585     8969
TAB:  US_Louisiana_Orleans Confirmed .           128     7067     7247     7630        5     7095    31727     8969
TAB:  US_Louisiana_Orleans Confirmed 5/30/2020   129     7108     7247     8166        5     7362    19946     8969
TAB:  US_Louisiana_Orleans Confirmed .           130     7127     7247     7630        4     7362    24498     9237
TAB:  US_Louisiana_Orleans Confirmed 6/1/2020    131     7141     7247     7630        4     7362    21820     9237
TAB:  US_Louisiana_Orleans Confirmed .           132     7156     7247     7630        7     7362    18607     9237
TAB:  US_Louisiana_Orleans Confirmed 6/3/2020    133     7174     7247     7898        7     7362    41633    10040
TAB:  US_Louisiana_Orleans Confirmed .           134     7192     7247     7898        9     7362    30656     9504
TAB:  US_Louisiana_Orleans Confirmed 6/5/2020    135     7206     7247     7630        8     7362    44846     9504
TAB:  US_Louisiana_Orleans Confirmed .           136     7222     7247     7630        9     7362    30923    11378
TAB:  US_Louisiana_Orleans Confirmed 6/7/2020    137     7230     7247     7544        5     7305    15848     8902
TAB:  US_Louisiana_Orleans Confirmed .           138     7237     7247     7343        5     7343    12097     8745
TAB:  US_Louisiana_Orleans Confirmed 6/9/2020    139     7247     7247     7338        6     7338    10411     8504
AAA2     1 US_Louisiana_Orleans Confirmed cc1=  .995076 cc2=  .586828 lx=  4.88834 if=  49 il=  54 3/16/2020  n=   5 now=    7247 end=        132        79         0 U=     2.71 T=   52.2 p1= -98.2 p2=  5490.2 ed=    58 3/20/2020   x1=  49. x2=  54. y1=  1.19 y2=  -.66     
GP: Confirmed US_Louisiana_Orleans 3/16/2020        54    7247      132      79        0     0    58 3/20/2020 
AAA2     1 US_Louisiana_Orleans Confirmed cc1=  .985405 cc2=  .577157 lx=  9.06834 if=  51 il=  56 3/18/2020  n=   5 now=    7247 end=       8676       187         0 U=    12.05 T=   72.2 p1=  19.7 p2=    83.5 ed=   100 5/1/2020    x1=  51. x2=  56. y1=  1.76 y2=  1.34     
GP: Confirmed US_Louisiana_Orleans 3/18/2020        56    7247     8676     187        0     0   100 5/1/2020  
AAA1     1 US_Louisiana_Orleans Confirmed cc1=  .993411 cc2=  .639858 lx=  7.29834 if=  50 il=  57 3/19/2020  n=   7 now=    7247 end=       1477       231      1472 U=     7.60 T=   61.7 p1= -79.6 p2=   490.7 ed=    79 4/10/2020   x1=  50. x2=  57. y1=  1.54 y2=   .62 BEST
AAA2     1 US_Louisiana_Orleans Confirmed cc1=  .993411 cc2=  .639858 lx=  7.29834 if=  50 il=  57 3/19/2020  n=   7 now=    7247 end=       1477       231      1472 U=     7.60 T=   61.7 p1= -79.6 p2=   490.7 ed=    79 4/10/2020   x1=  50. x2=  57. y1=  1.54 y2=   .62 BEST
GP: Confirmed US_Louisiana_Orleans 3/19/2020        57    7247     1477     231     1472     1    79 4/10/2020 
AAA2     1 US_Louisiana_Orleans Confirmed cc1=  .990527 cc2=  .612562 lx=  7.91834 if=  51 il=  57 3/19/2020  n=   6 now=    7247 end=       2747       231      1472 U=     9.49 T=   65.6 p1= -62.1 p2=   263.8 ed=    87 4/18/2020   x1=  51. x2=  57. y1=  1.54 y2=   .91     
GP: Confirmed US_Louisiana_Orleans 3/19/2020        57    7247     2747     231     1472     1    87 4/18/2020 
AAA2     1 US_Louisiana_Orleans Confirmed cc1=  .986965 cc2=  .578717 lx= 10.88834 if=  52 il=  57 3/19/2020  n=   5 now=    7247 end=      53548       231      1472 U=    20.90 T=   92.4 p1= 638.9 p2=    13.5 ed=   141 6/11/2020   x1=  52. x2=  57. y1=  1.93 y2=  1.69     
GP: Confirmed US_Louisiana_Orleans 3/19/2020        57    7247    -         231     1472     1   141 6/11/2020 
AAA1     1 US_Louisiana_Orleans Confirmed cc1=  .994865 cc2=  .661532 lx=  8.06834 if=  50 il=  58 3/20/2020  n=   8 now=    7247 end=       3191       326      3079 U=     9.23 T=   65.6 p1= -56.0 p2=   227.1 ed=    87 4/18/2020   x1=  50. x2=  58. y1=  1.69 y2=   .82 BEST
AAA2     1 US_Louisiana_Orleans Confirmed cc1=  .994865 cc2=  .661532 lx=  8.07334 if=  50 il=  58 3/20/2020  n=   8 now=    7247 end=       3191       326      3079 U=     9.23 T=   65.6 p1= -56.0 p2=   227.1 ed=    87 4/18/2020   x1=  50. x2=  58. y1=  1.69 y2=   .82 BEST
GP: Confirmed US_Louisiana_Orleans 3/20/2020        58    7247     3191     326     3079     1    87 4/18/2020 
AAA2     1 US_Louisiana_Orleans Confirmed cc1=  .993384 cc2=  .639830 lx=  9.04834 if=  51 il=  58 3/20/2020  n=   7 now=    7247 end=       8504       326      3079 U=    12.20 T=   72.4 p1=  17.3 p2=    85.2 ed=   101 5/2/2020    x1=  51. x2=  58. y1=  1.76 y2=  1.18     
GP: Confirmed US_Louisiana_Orleans 3/20/2020        58    7247     8504     326     3079     1   101 5/2/2020  
AAA2     1 US_Louisiana_Orleans Confirmed cc1=  .991673 cc2=  .613708 lx= 10.88834 if=  52 il=  58 3/20/2020  n=   6 now=    7247 end=      53548       326      3079 U=    19.70 T=   90.1 p1= 638.9 p2=    13.5 ed=   136 6/6/2020    x1=  52. x2=  58. y1=  1.93 y2=  1.63     
GP: Confirmed US_Louisiana_Orleans 3/20/2020        58    7247    -         326     3079     1   136 6/6/2020  
AAA2     1 US_Louisiana_Orleans Confirmed cc1=  .993367 cc2=  .585119 lx=  8.76834 if=  53 il=  58 3/20/2020  n=   5 now=    7247 end=       6427       326      3079 U=    11.65 T=   70.7 p1= -11.3 p2=   112.8 ed=    98 4/29/2020   x1=  53. x2=  58. y1=  1.52 y2=  1.09     
GP: Confirmed US_Louisiana_Orleans 3/20/2020        58    7247     6427     326     3079     1    98 4/29/2020 
AAA1     1 US_Louisiana_Orleans Confirmed cc1=  .995803 cc2=  .694291 lx=  7.63834 if=  49 il=  59 3/21/2020  n=  10 now=    7247 end=       2076       418      2008 U=     7.55 T=   62.6 p1= -71.4 p2=   349.1 ed=    80 4/11/2020   x1=  49. x2=  59. y1=  1.80 y2=   .47 BEST
AAA2     1 US_Louisiana_Orleans Confirmed cc1=  .995803 cc2=  .694291 lx=  7.63834 if=  49 il=  59 3/21/2020  n=  10 now=    7247 end=       2076       418      2008 U=     7.55 T=   62.6 p1= -71.4 p2=   349.1 ed=    80 4/11/2020   x1=  49. x2=  59. y1=  1.80 y2=   .47 BEST
GP: Confirmed US_Louisiana_Orleans 3/21/2020        59    7247     2076     418     2008     1    80 4/11/2020 
AAA2     1 US_Louisiana_Orleans Confirmed cc1=  .996161 cc2=  .679933 lx=  8.40834 if=  50 il=  59 3/21/2020  n=   9 now=    7247 end=       4484       418      2008 U=    10.13 T=   67.8 p1= -38.1 p2=   161.6 ed=    91 4/22/2020   x1=  50. x2=  59. y1=  1.75 y2=   .86     
GP: Confirmed US_Louisiana_Orleans 3/21/2020        59    7247     4484     418     2008     1    91 4/22/2020 
AAA2     1 US_Louisiana_Orleans Confirmed cc1=  .995357 cc2=  .662024 lx=  9.29834 if=  51 il=  59 3/21/2020  n=   8 now=    7247 end=      10919       418      2008 U=    12.99 T=   74.4 p1=  50.7 p2=    66.4 ed=   105 5/6/2020    x1=  51. x2=  59. y1=  1.80 y2=  1.18     
GP: Confirmed US_Louisiana_Orleans 3/21/2020        59    7247    10919     418     2008     1   105 5/6/2020  
AAA2     1 US_Louisiana_Orleans Confirmed cc1=  .994455 cc2=  .640902 lx= 10.88834 if=  52 il=  59 3/21/2020  n=   7 now=    7247 end=      53548       418      2008 U=    19.74 T=   90.2 p1= 638.9 p2=    13.5 ed=   136 6/6/2020    x1=  52. x2=  59. y1=  1.93 y2=  1.58     
GP: Confirmed US_Louisiana_Orleans 3/21/2020        59    7247    -         418     2008     1   136 6/6/2020  
AAA2     1 US_Louisiana_Orleans Confirmed cc1=  .995858 cc2=  .617894 lx=  8.87834 if=  53 il=  59 3/21/2020  n=   6 now=    7247 end=       7174       418      2008 U=    11.99 T=   71.5 p1=  -1.0 p2=   101.0 ed=    99 4/30/2020   x1=  53. x2=  59. y1=  1.55 y2=  1.04     
GP: Confirmed US_Louisiana_Orleans 3/21/2020        59    7247     7174     418     2008     1    99 4/30/2020 
AAA1     1 US_Louisiana_Orleans Confirmed cc1=  .996410 cc2=  .707735 lx=  7.42834 if=  49 il=  60 3/22/2020  n=  11 now=    7247 end=       1683       451      1687 U=     7.40 T=   62.0 p1= -76.8 p2=   430.6 ed=    79 4/10/2020   x1=  49. x2=  60. y1=  1.76 y2=   .28 BEST
AAA2     1 US_Louisiana_Orleans Confirmed cc1=  .996410 cc2=  .707735 lx=  7.42734 if=  49 il=  60 3/22/2020  n=  11 now=    7247 end=       1683       451      1687 U=     7.40 T=   62.0 p1= -76.8 p2=   430.6 ed=    79 4/10/2020   x1=  49. x2=  60. y1=  1.76 y2=   .28 BEST
GP: Confirmed US_Louisiana_Orleans 3/22/2020        60    7247     1683     451     1687     2    79 4/10/2020 
AAA2     1 US_Louisiana_Orleans Confirmed cc1=  .996308 cc2=  .694797 lx=  7.85834 if=  50 il=  60 3/22/2020  n=  10 now=    7247 end=       2587       451      1687 U=     9.14 T=   65.1 p1= -64.3 p2=   280.1 ed=    86 4/17/2020   x1=  50. x2=  60. y1=  1.65 y2=   .56     
GP: Confirmed US_Louisiana_Orleans 3/22/2020        60    7247     2587     451     1687     2    86 4/17/2020 
AAA2     1 US_Louisiana_Orleans Confirmed cc1=  .995267 cc2=  .679039 lx=  8.14834 if=  51 il=  60 3/22/2020  n=   9 now=    7247 end=       3457       451      1687 U=    10.28 T=   67.3 p1= -52.3 p2=   209.6 ed=    91 4/22/2020   x1=  51. x2=  60. y1=  1.59 y2=   .71     
GP: Confirmed US_Louisiana_Orleans 3/22/2020        60    7247     3457     451     1687     2    91 4/22/2020 
AAA2     1 US_Louisiana_Orleans Confirmed cc1=  .993714 cc2=  .660381 lx=  8.76834 if=  52 il=  60 3/22/2020  n=   8 now=    7247 end=       6427       451      1687 U=    13.54 T=   73.2 p1= -11.3 p2=   112.8 ed=   105 5/6/2020    x1=  52. x2=  60. y1=  1.57 y2=   .98     
GP: Confirmed US_Louisiana_Orleans 3/22/2020        60    7247     6427     451     1687     2   105 5/6/2020  
AAA1     1 US_Louisiana_Orleans Confirmed cc1=  .994816 cc2=  .641263 lx=  7.43834 if=  53 il=  60 3/22/2020  n=   7 now=    7247 end=       1699       451      1687 U=     7.82 T=   62.2 p1= -76.6 p2=   426.5 ed=    80 4/11/2020   x1=  53. x2=  60. y1=  1.18 y2=   .28 BEST
AAA2     1 US_Louisiana_Orleans Confirmed cc1=  .994816 cc2=  .641263 lx=  7.43634 if=  53 il=  60 3/22/2020  n=   7 now=    7247 end=       1699       451      1687 U=     7.82 T=   62.2 p1= -76.6 p2=   426.5 ed=    80 4/11/2020   x1=  53. x2=  60. y1=  1.18 y2=   .28 BEST
GP: Confirmed US_Louisiana_Orleans 3/22/2020        60    7247     1699     451     1687     2    80 4/11/2020 
AAA2     1 US_Louisiana_Orleans Confirmed cc1=  .992656 cc2=  .584408 lx=  7.23834 if=  55 il=  60 3/22/2020  n=   5 now=    7247 end=       1391       451      1687 U=     6.90 T=   60.8 p1= -80.8 p2=   521.0 ed=    77 4/8/2020    x1=  55. x2=  60. y1=   .84 y2=   .12     
GP: Confirmed US_Louisiana_Orleans 3/22/2020        60    7247     1391     451     1687     2    77 4/8/2020  
AAA1     1 US_Louisiana_Orleans Confirmed cc1=  .997140 cc2=  .719790 lx=  7.50834 if=  49 il=  61 3/23/2020  n=  12 now=    7247 end=       1823       567      1825 U=     7.41 T=   62.2 p1= -74.8 p2=   397.5 ed=    79 4/10/2020   x1=  49. x2=  61. y1=  1.77 y2=   .16 BEST
AAA2     1 US_Louisiana_Orleans Confirmed cc1=  .997140 cc2=  .719790 lx=  7.50834 if=  49 il=  61 3/23/2020  n=  12 now=    7247 end=       1823       567      1825 U=     7.41 T=   62.2 p1= -74.8 p2=   397.5 ed=    79 4/10/2020   x1=  49. x2=  61. y1=  1.77 y2=   .16 BEST
GP: Confirmed US_Louisiana_Orleans 3/23/2020        61    7247     1823     567     1825     2    79 4/10/2020 
AAA2     1 US_Louisiana_Orleans Confirmed cc1=  .997159 cc2=  .708484 lx=  7.82834 if=  50 il=  61 3/23/2020  n=  11 now=    7247 end=       2510       567      1825 U=     8.81 T=   64.5 p1= -65.4 p2=   288.7 ed=    85 4/16/2020   x1=  50. x2=  61. y1=  1.65 y2=   .40     
GP: Confirmed US_Louisiana_Orleans 3/23/2020        61    7247     2510     567     1825     2    85 4/16/2020 
AAA2     1 US_Louisiana_Orleans Confirmed cc1=  .996419 cc2=  .694908 lx=  7.98834 if=  51 il=  61 3/23/2020  n=  10 now=    7247 end=       2946       567      1825 U=     9.48 T=   65.7 p1= -59.3 p2=   246.0 ed=    88 4/19/2020   x1=  51. x2=  61. y1=  1.55 y2=   .50     
GP: Confirmed US_Louisiana_Orleans 3/23/2020        61    7247     2946     567     1825     2    88 4/19/2020 
AAA2     1 US_Louisiana_Orleans Confirmed cc1=  .995296 cc2=  .679068 lx=  8.18834 if=  52 il=  61 3/23/2020  n=   9 now=    7247 end=       3598       567      1825 U=    10.91 T=   67.7 p1= -50.4 p2=   201.4 ed=    93 4/24/2020   x1=  52. x2=  61. y1=  1.44 y2=   .61     
GP: Confirmed US_Louisiana_Orleans 3/23/2020        61    7247     3598     567     1825     2    93 4/24/2020 
AAA1     1 US_Louisiana_Orleans Confirmed cc1=  .996364 cc2=  .663031 lx=  7.50834 if=  53 il=  61 3/23/2020  n=   8 now=    7247 end=       1823       567      1825 U=     7.66 T=   62.2 p1= -74.8 p2=   397.5 ed=    80 4/11/2020   x1=  53. x2=  61. y1=  1.20 y2=   .16 BEST
AAA2     1 US_Louisiana_Orleans Confirmed cc1=  .996364 cc2=  .663031 lx=  7.51134 if=  53 il=  61 3/23/2020  n=   8 now=    7247 end=       1823       567      1825 U=     7.66 T=   62.2 p1= -74.8 p2=   397.5 ed=    80 4/11/2020   x1=  53. x2=  61. y1=  1.20 y2=   .16 BEST
GP: Confirmed US_Louisiana_Orleans 3/23/2020        61    7247     1823     567     1825     2    80 4/11/2020 
AAA2     1 US_Louisiana_Orleans Confirmed cc1=  .995350 cc2=  .617386 lx=  7.53834 if=  55 il=  61 3/23/2020  n=   6 now=    7247 end=       1878       567      1825 U=     7.65 T=   62.4 p1= -74.1 p2=   385.9 ed=    80 4/11/2020   x1=  55. x2=  61. y1=   .97 y2=   .18     
GP: Confirmed US_Louisiana_Orleans 3/23/2020        61    7247     1878     567     1825     2    80 4/11/2020 
AAA2     1 US_Louisiana_Orleans Confirmed cc1=  .992825 cc2=  .584577 lx=  7.30834 if=  56 il=  61 3/23/2020  n=   5 now=    7247 end=       1492       567      1825 U=     6.55 T=   60.8 p1= -79.4 p2=   485.7 ed=    76 4/7/2020    x1=  56. x2=  61. y1=   .73 y2=  -.03     
GP: Confirmed US_Louisiana_Orleans 3/23/2020        61    7247     1492     567     1825     2    76 4/7/2020  
AAA1     1 US_Louisiana_Orleans Confirmed cc1=  .997623 cc2=  .730362 lx=  7.61834 if=  49 il=  62 3/24/2020  n=  13 now=    7247 end=       2035       675      2034 U=     7.67 T=   62.8 p1= -71.9 p2=   356.1 ed=    80 4/11/2020   x1=  49. x2=  62. y1=  1.79 y2=   .10 BEST
