TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        3175.00000        8.06306
TAB:  US_Pennsylvania_Northampton Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Pennsylvania_Northampton Confirmed .            26        0     3175        0        0        0        0        0
TAB:  US_Pennsylvania_Northampton Confirmed 2/18/2020    27        0     3175        0        0        0        0        0
TAB:  US_Pennsylvania_Northampton Confirmed .            28        0     3175        0        0        0        0        0
TAB:  US_Pennsylvania_Northampton Confirmed 2/20/2020    29        0     3175        0        0        0        0        0
TAB:  US_Pennsylvania_Northampton Confirmed .            30        0     3175        0        0        0        0        0
TAB:  US_Pennsylvania_Northampton Confirmed 2/22/2020    31        0     3175        0        0        0        0        0
TAB:  US_Pennsylvania_Northampton Confirmed .            32        0     3175        0        0        0        0        0
TAB:  US_Pennsylvania_Northampton Confirmed 2/24/2020    33        0     3175        0        0        0        0        0
TAB:  US_Pennsylvania_Northampton Confirmed .            34        0     3175        0        0        0        0        0
TAB:  US_Pennsylvania_Northampton Confirmed 2/26/2020    35        0     3175        0        0        0        0        0
TAB:  US_Pennsylvania_Northampton Confirmed .            36        0     3175        0        0        0        0        0
TAB:  US_Pennsylvania_Northampton Confirmed 2/28/2020    37        0     3175        0        0        0        0        0
TAB:  US_Pennsylvania_Northampton Confirmed .            38        0     3175        0        0        0        0        0
TAB:  US_Pennsylvania_Northampton Confirmed 3/1/2020     39        0     3175        0        0        0        0        0
TAB:  US_Pennsylvania_Northampton Confirmed .            40        0     3175        0        0        0        0        0
TAB:  US_Pennsylvania_Northampton Confirmed 3/3/2020     41        0     3175        0        0        0        0        0
TAB:  US_Pennsylvania_Northampton Confirmed .            42        0     3175        0        0        0        0        0
TAB:  US_Pennsylvania_Northampton Confirmed 3/5/2020     43        0     3175        0        0        0        0        0
TAB:  US_Pennsylvania_Northampton Confirmed .            44        0     3175        0        0        0        0        0
TAB:  US_Pennsylvania_Northampton Confirmed 3/7/2020     45        0     3175        0        0        0        0        0
TAB:  US_Pennsylvania_Northampton Confirmed .            46        0     3175        0        0        0        0        0
TAB:  US_Pennsylvania_Northampton Confirmed 3/9/2020     47        0     3175        0        0        0        0        0
TAB:  US_Pennsylvania_Northampton Confirmed .            48        0     3175        0        0        0        0        0
TAB:  US_Pennsylvania_Northampton Confirmed 3/11/2020    49        0     3175        0        0        0        0        0
TAB:  US_Pennsylvania_Northampton Confirmed .            50        1     3175        0        0        0        0        0
TAB:  US_Pennsylvania_Northampton Confirmed 3/13/2020    51        1     3175        0        0        0        0        0
TAB:  US_Pennsylvania_Northampton Confirmed .            52        1     3175        0        0        0        0        0
TAB:  US_Pennsylvania_Northampton Confirmed 3/15/2020    53        1     3175        0        0        0        0        0
TAB:  US_Pennsylvania_Northampton Confirmed .            54        1     3175        0        0        0        0        0
TAB:  US_Pennsylvania_Northampton Confirmed 3/17/2020    55        1     3175        0        0        0        0        0
TAB:  US_Pennsylvania_Northampton Confirmed .            56        1     3175        0        0        0        0        0
TAB:  US_Pennsylvania_Northampton Confirmed 3/19/2020    57        5     3175        0        0        0        0        0
TAB:  US_Pennsylvania_Northampton Confirmed .            58       10     3175        0        0        0        0        0
TAB:  US_Pennsylvania_Northampton Confirmed 3/21/2020    59       17     3175        0        0        0        0        0
TAB:  US_Pennsylvania_Northampton Confirmed .            60       21     3175       58        2       58      293      293
TAB:  US_Pennsylvania_Northampton Confirmed 3/23/2020    61       23     3175       58        4       58      879      175
TAB:  US_Pennsylvania_Northampton Confirmed .            62       33     3175       55        2       55      279       82
TAB:  US_Pennsylvania_Northampton Confirmed 3/25/2020    63       44     3175       74        1       74      629      127
TAB:  US_Pennsylvania_Northampton Confirmed .            64       56     3175      175        3       58     1935      410
TAB:  US_Pennsylvania_Northampton Confirmed 3/27/2020    65       79     3175      175        2      175     2170      762
TAB:  US_Pennsylvania_Northampton Confirmed .            66       94     3175      293        2      175     2052      879
TAB:  US_Pennsylvania_Northampton Confirmed 3/29/2020    67      126     3175      410        3      410     8738     1583
TAB:  US_Pennsylvania_Northampton Confirmed .            68      184     3175      879        2      879    10850     2404
TAB:  US_Pennsylvania_Northampton Confirmed 3/31/2020    69      245     3175     1700        1     1700    10732     3108
TAB:  US_Pennsylvania_Northampton Confirmed .            70      312     3175     2756        1     2756    19061     5102
TAB:  US_Pennsylvania_Northampton Confirmed 4/2/2020     71      378     3175     1348        1     1348    11436     4516
TAB:  US_Pennsylvania_Northampton Confirmed .            72      466     3175     1348        1     1348    13782     5689
TAB:  US_Pennsylvania_Northampton Confirmed 4/4/2020     73      588     3175     7683        2     3225    18240    10381
TAB:  US_Pennsylvania_Northampton Confirmed .            74      636     3175     7331        2     1818    15542     6158
TAB:  US_Pennsylvania_Northampton Confirmed 4/6/2020     75      716     3175     1114        1     1114    21876     5806
TAB:  US_Pennsylvania_Northampton Confirmed .            76      774     3175     1114        2      997    15776     4398
TAB:  US_Pennsylvania_Northampton Confirmed 4/8/2020     77      857     3175     1270        3     1176    18497     4283
TAB:  US_Pennsylvania_Northampton Confirmed .            78      949     3175     1466        3     1466    13548     4046
TAB:  US_Pennsylvania_Northampton Confirmed 4/10/2020    79      994     3175     1498        4     1449     7051     3415
TAB:  US_Pennsylvania_Northampton Confirmed .            80     1039     3175     1437        4     1255     5515     2093
TAB:  US_Pennsylvania_Northampton Confirmed 4/12/2020    81     1082     3175     1375        3     1208     4404     1848
TAB:  US_Pennsylvania_Northampton Confirmed .            82     1130     3175     1402        4     1291     3654     1733
TAB:  US_Pennsylvania_Northampton Confirmed 4/14/2020    83     1176     3175     1421        8     1376     3605     1876
TAB:  US_Pennsylvania_Northampton Confirmed .            84     1251     3175     1583        9     1466     3108     2052
TAB:  US_Pennsylvania_Northampton Confirmed 4/16/2020    85     1296     3175     1583        9     1583     2756     2170
TAB:  US_Pennsylvania_Northampton Confirmed .            86     1335     3175     1583        8     1583     7096     2052
TAB:  US_Pennsylvania_Northampton Confirmed 4/18/2020    87     1396     3175     1667        9     1667    13279     2242
TAB:  US_Pennsylvania_Northampton Confirmed .            88     1441     3175     1714        6     1714     4938     1985
TAB:  US_Pennsylvania_Northampton Confirmed 4/20/2020    89     1469     3175     1725        4     1725     2739     1905
TAB:  US_Pennsylvania_Northampton Confirmed .            90     1544     3175     1818       11     1818     3929     2639
TAB:  US_Pennsylvania_Northampton Confirmed 4/22/2020    91     1591     3175     1935       11     1818     4046     2404
TAB:  US_Pennsylvania_Northampton Confirmed .            92     1656     3175     1935       11     1935     4867     3343
TAB:  US_Pennsylvania_Northampton Confirmed 4/24/2020    93     1716     3175     2052       16     2052     9794     3812
TAB:  US_Pennsylvania_Northampton Confirmed .            94     1780     3175     2170       11     2052    23049     2991
TAB:  US_Pennsylvania_Northampton Confirmed 4/26/2020    95     1813     3175     2170       16     2170     9442     3343
TAB:  US_Pennsylvania_Northampton Confirmed .            96     1834     3175     2188       10     1912     5225     2740
TAB:  US_Pennsylvania_Northampton Confirmed 4/28/2020    97     1970     3175     2287       14     2287    10263     3577
TAB:  US_Pennsylvania_Northampton Confirmed .            98     2008     3175     2404       17     2404    19765     4164
TAB:  US_Pennsylvania_Northampton Confirmed 4/30/2020    99     2050     3175     2404       15     2404    13548     4281
TAB:  US_Pennsylvania_Northampton Confirmed .           100     2103     3175     2448       11     2256    14549     4369
TAB:  US_Pennsylvania_Northampton Confirmed 5/2/2020    101     2182     3175     2512        9     2512    14478     4613
TAB:  US_Pennsylvania_Northampton Confirmed .           102     2214     3175     2639       13     2521    10732     4633
TAB:  US_Pennsylvania_Northampton Confirmed 5/4/2020    103     2240     3175     2622        6     2382     6154     3788
TAB:  US_Pennsylvania_Northampton Confirmed .           104     2279     3175     2656        9     2389     5246     3163
TAB:  US_Pennsylvania_Northampton Confirmed 5/6/2020    105     2313     3175     2669        7     2476     4747     3080
TAB:  US_Pennsylvania_Northampton Confirmed .           106     2355     3175     2756       13     2521     4516     3577
TAB:  US_Pennsylvania_Northampton Confirmed 5/8/2020    107     2390     3175     2756       21     2639     4164     3460
TAB:  US_Pennsylvania_Northampton Confirmed .           108     2429     3175     2756       19     2756     8504     3460
TAB:  US_Pennsylvania_Northampton Confirmed 5/10/2020   109     2453     3175     2756       18     2756     5454     3343
TAB:  US_Pennsylvania_Northampton Confirmed .           110     2465     3175     2766        8     2529     3606     3076
TAB:  US_Pennsylvania_Northampton Confirmed 5/12/2020   111     2499     3175     2780        9     2674     3481     3078
TAB:  US_Pennsylvania_Northampton Confirmed .           112     2518     3175     2783       10     2681     3379     3021
TAB:  US_Pennsylvania_Northampton Confirmed 5/14/2020   113     2566     3175     2873       21     2756     3343     3108
TAB:  US_Pennsylvania_Northampton Confirmed .           114     2600     3175     2873       20     2756     3812     3343
TAB:  US_Pennsylvania_Northampton Confirmed 5/16/2020   115     2659     3175     2873       15     2873    11084     3343
TAB:  US_Pennsylvania_Northampton Confirmed .           116     2703     3175     3225       10     2873     4046     3343
TAB:  US_Pennsylvania_Northampton Confirmed 5/18/2020   117     2727     3175     2991       15     2991     4398     3460
TAB:  US_Pennsylvania_Northampton Confirmed .           118     2758     3175     2991       14     2873     6392     3460
TAB:  US_Pennsylvania_Northampton Confirmed 5/20/2020   119     2779     3175     3460       14     2873     5806     3460
TAB:  US_Pennsylvania_Northampton Confirmed .           120     2814     3175     3460       18     2991    20586     4046
TAB:  US_Pennsylvania_Northampton Confirmed 5/22/2020   121     2842     3175     3460       20     3108    10967     4046
TAB:  US_Pennsylvania_Northampton Confirmed .           122     2866     3175     3460       20     3108     9794     4398
TAB:  US_Pennsylvania_Northampton Confirmed 5/24/2020   123     2911     3175     3460       17     3108    19765     4516
TAB:  US_Pennsylvania_Northampton Confirmed .           124     2920     3175     3460       14     3108     5806     4164
TAB:  US_Pennsylvania_Northampton Confirmed 5/26/2020   125     2933     3175     3497       12     2950     4792     3497
TAB:  US_Pennsylvania_Northampton Confirmed .           126     2958     3175     3502       12     3052     4381     3480
TAB:  US_Pennsylvania_Northampton Confirmed 5/28/2020   127     3022     3175     3577       20     3225     7331     4046
TAB:  US_Pennsylvania_Northampton Confirmed .           128     3045     3175     3577       16     3225    20234     4164
TAB:  US_Pennsylvania_Northampton Confirmed 5/30/2020   129     3062     3175     3577       14     3225    10146     4164
TAB:  US_Pennsylvania_Northampton Confirmed .           130     3072     3175     3694       12     3108    11671     4046
TAB:  US_Pennsylvania_Northampton Confirmed 6/1/2020    131     3082     3175     3609       13     3121     4328     3678
TAB:  US_Pennsylvania_Northampton Confirmed .           132     3108     3175     3607       13     3171     4107     3607
TAB:  US_Pennsylvania_Northampton Confirmed 6/3/2020    133     3120     3175     3577       23     3225     4046     3694
TAB:  US_Pennsylvania_Northampton Confirmed .           134     3124     3175     3636       19     3155     3925     3540
TAB:  US_Pennsylvania_Northampton Confirmed 6/5/2020    135     3136     3175     3582       12     3183     3772     3468
TAB:  US_Pennsylvania_Northampton Confirmed .           136     3144     3175     3585       18     3175     3697     3436
TAB:  US_Pennsylvania_Northampton Confirmed 6/7/2020    137     3151     3175     3551       12     3168     3606     3405
TAB:  US_Pennsylvania_Northampton Confirmed .           138     3168     3175     3577       29     3225     3577     3460
TAB:  US_Pennsylvania_Northampton Confirmed 6/9/2020    139     3175     3175     3343       27     3225     3577     3460
AAA2     1 US_Pennsylvania_Northampton Confirmed cc1=  .838898 cc2=  .505564 lx= 10.06306 if=  51 il=  59 3/21/2020  n=   8 now=    3175 end=      23460        17         0 U=    24.19 T=  106.9 p1= 638.9 p2=    13.5 ed=   163 7/3/2020    x1=  51. x2=  59. y1=  2.31 y2=  1.98     
GP: Confirmed US_Pennsylvania_Northampton 3/21/2020        59    3175    -          17        0     0   163 7/3/2020  
AAA2     1 US_Pennsylvania_Northampton Confirmed cc1=  .871477 cc2=  .517924 lx= 10.06306 if=  52 il=  59 3/21/2020  n=   7 now=    3175 end=      23460        17         0 U=    21.17 T=  100.9 p1= 638.9 p2=    13.5 ed=   150 6/20/2020   x1=  52. x2=  59. y1=  2.31 y2=  1.98     
GP: Confirmed US_Pennsylvania_Northampton 3/21/2020        59    3175    -          17        0     0   150 6/20/2020 
AAA2     1 US_Pennsylvania_Northampton Confirmed cc1=  .906003 cc2=  .528038 lx= 10.06306 if=  53 il=  59 3/21/2020  n=   6 now=    3175 end=      23460        17         0 U=    18.15 T=   94.9 p1= 638.9 p2=    13.5 ed=   137 6/7/2020    x1=  53. x2=  59. y1=  2.31 y2=  1.98     
GP: Confirmed US_Pennsylvania_Northampton 3/21/2020        59    3175    -          17        0     0   137 6/7/2020  
AAA2     1 US_Pennsylvania_Northampton Confirmed cc1=  .941050 cc2=  .532802 lx=  6.33306 if=  54 il=  59 3/21/2020  n=   5 now=    3175 end=        562        17         0 U=     8.43 T=   69.6 p1= -82.3 p2=   564.9 ed=    89 4/20/2020   x1=  54. x2=  59. y1=  1.85 y2=  1.25     
GP: Confirmed US_Pennsylvania_Northampton 3/21/2020        59    3175      562      17        0     0    89 4/20/2020 
AAA2     1 US_Pennsylvania_Northampton Confirmed cc1=  .860544 cc2=  .559033 lx= 10.06306 if=  50 il=  60 3/22/2020  n=  10 now=    3175 end=      23460        21        58 U=    27.75 T=  114.1 p1= 638.9 p2=    13.5 ed=   179 7/19/2020   x1=  50. x2=  60. y1=  2.31 y2=  1.95     
GP: Confirmed US_Pennsylvania_Northampton 3/22/2020        60    3175    -          21       58     2   179 7/19/2020 
AAA2     1 US_Pennsylvania_Northampton Confirmed cc1=  .885473 cc2=  .569245 lx= 10.06306 if=  51 il=  60 3/22/2020  n=   9 now=    3175 end=      23460        21        58 U=    24.98 T=  108.7 p1= 638.9 p2=    13.5 ed=   167 7/7/2020    x1=  51. x2=  60. y1=  2.31 y2=  1.95     
GP: Confirmed US_Pennsylvania_Northampton 3/22/2020        60    3175    -          21       58     2   167 7/7/2020  
AAA2     1 US_Pennsylvania_Northampton Confirmed cc1=  .910971 cc2=  .577638 lx= 10.06306 if=  52 il=  60 3/22/2020  n=   8 now=    3175 end=      23460        21        58 U=    22.20 T=  103.3 p1= 638.9 p2=    13.5 ed=   155 6/25/2020   x1=  52. x2=  60. y1=  2.31 y2=  1.95     
GP: Confirmed US_Pennsylvania_Northampton 3/22/2020        60    3175    -          21       58     2   155 6/25/2020 
AAA2     1 US_Pennsylvania_Northampton Confirmed cc1=  .936577 cc2=  .583024 lx=  5.72306 if=  53 il=  60 3/22/2020  n=   7 now=    3175 end=        305        21        58 U=     9.22 T=   69.1 p1= -90.4 p2=  1041.0 ed=    90 4/21/2020   x1=  53. x2=  60. y1=  1.74 y2=   .99     
GP: Confirmed US_Pennsylvania_Northampton 3/22/2020        60    3175      305      21       58     2    90 4/21/2020 
AAA1     1 US_Pennsylvania_Northampton Confirmed cc1=  .961744 cc2=  .583780 lx=  4.27306 if=  54 il=  60 3/22/2020  n=   6 now=    3175 end=         71        21        58 U=     4.81 T=   61.0 p1= -97.8 p2=  4471.8 ed=    72 4/3/2020    x1=  54. x2=  60. y1=  1.45 y2=   .21 BEST
AAA2     1 US_Pennsylvania_Northampton Confirmed cc1=  .961744 cc2=  .583780 lx=  4.26906 if=  54 il=  60 3/22/2020  n=   6 now=    3175 end=         71        21        58 U=     4.81 T=   61.0 p1= -97.8 p2=  4471.8 ed=    72 4/3/2020    x1=  54. x2=  60. y1=  1.45 y2=   .21 BEST
GP: Confirmed US_Pennsylvania_Northampton 3/22/2020        60    3175       71      21       58     2    72 4/3/2020  
AAA1     1 US_Pennsylvania_Northampton Confirmed cc1=  .982867 cc2=  .574619 lx=  4.06306 if=  55 il=  60 3/22/2020  n=   5 now=    3175 end=         58        21        58 U=     3.61 T=   60.1 p1= -98.2 p2=  5474.1 ed=    68 3/30/2020   x1=  55. x2=  60. y1=  1.40 y2=   .02 BEST
AAA2     1 US_Pennsylvania_Northampton Confirmed cc1=  .983319 cc2=  .574619 lx=  3.96306 if=  55 il=  60 3/22/2020  n=   5 now=    3175 end=         58        21        58 U=     3.61 T=   60.1 p1= -98.2 p2=  5474.1 ed=    68 3/30/2020   x1=  55. x2=  60. y1=  1.40 y2=   .02 BEST
GP: Confirmed US_Pennsylvania_Northampton 3/22/2020        60    3175       58      21       58     2    68 3/30/2020 
AAA2     1 US_Pennsylvania_Northampton Confirmed cc1=  .892866 cc2=  .604191 lx= 10.06306 if=  50 il=  61 3/23/2020  n=  11 now=    3175 end=      23460        23        58 U=    29.46 T=  118.0 p1= 638.9 p2=    13.5 ed=   187 7/27/2020   x1=  50. x2=  61. y1=  2.31 y2=  1.94     
GP: Confirmed US_Pennsylvania_Northampton 3/23/2020        61    3175    -          23       58     4   187 7/27/2020 
AAA2     1 US_Pennsylvania_Northampton Confirmed cc1=  .912642 cc2=  .611130 lx=  6.83306 if=  51 il=  61 3/23/2020  n=  10 now=    3175 end=        928        23        58 U=    16.28 T=   82.3 p1= -70.8 p2=   342.1 ed=   120 5/21/2020   x1=  51. x2=  61. y1=  1.92 y2=  1.31     
GP: Confirmed US_Pennsylvania_Northampton 3/23/2020        61    3175      928      23       58     4   120 5/21/2020 
AAA2     1 US_Pennsylvania_Northampton Confirmed cc1=  .932653 cc2=  .616426 lx=  4.90306 if=  52 il=  61 3/23/2020  n=   9 now=    3175 end=        134        23        58 U=     8.82 T=   66.0 p1= -95.8 p2=  2369.4 ed=    86 4/17/2020   x1=  52. x2=  61. y1=  1.59 y2=   .57     
GP: Confirmed US_Pennsylvania_Northampton 3/23/2020        61    3175      134      23       58     4    86 4/17/2020 
AAA1     1 US_Pennsylvania_Northampton Confirmed cc1=  .952518 cc2=  .619184 lx=  4.06306 if=  53 il=  61 3/23/2020  n=   8 now=    3175 end=         58        23        58 U=     5.42 T=   60.6 p1= -98.2 p2=  5474.1 ed=    73 4/4/2020    x1=  53. x2=  61. y1=  1.40 y2=  -.08 BEST
AAA2     1 US_Pennsylvania_Northampton Confirmed cc1=  .952524 cc2=  .619184 lx=  4.01806 if=  53 il=  61 3/23/2020  n=   8 now=    3175 end=         58        23        58 U=     5.42 T=   60.6 p1= -98.2 p2=  5474.1 ed=    73 4/4/2020    x1=  53. x2=  61. y1=  1.40 y2=  -.08 BEST
GP: Confirmed US_Pennsylvania_Northampton 3/23/2020        61    3175       58      23       58     4    73 4/4/2020  
AAA1     1 US_Pennsylvania_Northampton Confirmed cc1=  .969758 cc2=  .616205 lx=  4.06306 if=  54 il=  61 3/23/2020  n=   7 now=    3175 end=         58        23        58 U=     4.74 T=   60.6 p1= -98.2 p2=  5474.1 ed=    71 4/2/2020    x1=  54. x2=  61. y1=  1.40 y2=  -.08 BEST
AAA2     1 US_Pennsylvania_Northampton Confirmed cc1=  .970233 cc2=  .616205 lx=  3.96306 if=  54 il=  61 3/23/2020  n=   7 now=    3175 end=         58        23        58 U=     4.74 T=   60.6 p1= -98.2 p2=  5474.1 ed=    71 4/2/2020    x1=  54. x2=  61. y1=  1.40 y2=  -.08 BEST
GP: Confirmed US_Pennsylvania_Northampton 3/23/2020        61    3175       58      23       58     4    71 4/2/2020  
AAA1     1 US_Pennsylvania_Northampton Confirmed cc1=  .979275 cc2=  .601311 lx=  4.06306 if=  55 il=  61 3/23/2020  n=   6 now=    3175 end=         58        23        58 U=     4.06 T=   60.7 p1= -98.2 p2=  5474.1 ed=    70 4/1/2020    x1=  55. x2=  61. y1=  1.40 y2=  -.08 BEST
AAA2     1 US_Pennsylvania_Northampton Confirmed cc1=  .980497 cc2=  .601311 lx=  3.96306 if=  55 il=  61 3/23/2020  n=   6 now=    3175 end=         58        23        58 U=     4.06 T=   60.7 p1= -98.2 p2=  5474.1 ed=    70 4/1/2020    x1=  55. x2=  61. y1=  1.40 y2=  -.08 BEST
GP: Confirmed US_Pennsylvania_Northampton 3/23/2020        61    3175       58      23       58     4    70 4/1/2020  
AAA1     1 US_Pennsylvania_Northampton Confirmed cc1=  .973563 cc2=  .565314 lx=  4.06306 if=  56 il=  61 3/23/2020  n=   5 now=    3175 end=         58        23        58 U=     3.38 T=   60.7 p1= -98.2 p2=  5474.1 ed=    68 3/30/2020   x1=  56. x2=  61. y1=  1.40 y2=  -.08 BEST
AAA2     1 US_Pennsylvania_Northampton Confirmed cc1=  .975967 cc2=  .565314 lx=  3.96306 if=  56 il=  61 3/23/2020  n=   5 now=    3175 end=         58        23        58 U=     3.38 T=   60.7 p1= -98.2 p2=  5474.1 ed=    68 3/30/2020   x1=  56. x2=  61. y1=  1.40 y2=  -.08 BEST
GP: Confirmed US_Pennsylvania_Northampton 3/23/2020        61    3175       58      23       58     4    68 3/30/2020 
AAA2     1 US_Pennsylvania_Northampton Confirmed cc1=  .916537 cc2=  .639187 lx=  7.18306 if=  50 il=  62 3/24/2020  n=  12 now=    3175 end=       1316        33        55 U=    17.99 T=   85.5 p1= -58.6 p2=   241.3 ed=   127 5/28/2020   x1=  50. x2=  62. y1=  1.97 y2=  1.30     
GP: Confirmed US_Pennsylvania_Northampton 3/24/2020        62    3175     1316      33       55     2   127 5/28/2020 
AAA2     1 US_Pennsylvania_Northampton Confirmed cc1=  .933380 cc2=  .644705 lx=  5.64306 if=  51 il=  62 3/24/2020  n=  11 now=    3175 end=        282        33        55 U=    11.38 T=   70.7 p1= -91.1 p2=  1125.9 ed=    97 4/28/2020   x1=  51. x2=  62. y1=  1.73 y2=   .76     
GP: Confirmed US_Pennsylvania_Northampton 3/24/2020        62    3175      282      33       55     2    97 4/28/2020 
AAA2     1 US_Pennsylvania_Northampton Confirmed cc1=  .949937 cc2=  .648426 lx=  4.86306 if=  52 il=  62 3/24/2020  n=  10 now=    3175 end=        129        33        55 U=     7.88 T=   64.5 p1= -95.9 p2=  2461.2 ed=    83 4/14/2020   x1=  52. x2=  62. y1=  1.58 y2=   .31     
GP: Confirmed US_Pennsylvania_Northampton 3/24/2020        62    3175      129      33       55     2    83 4/14/2020 
AAA2     1 US_Pennsylvania_Northampton Confirmed cc1=  .965437 cc2=  .649210 lx=  4.41306 if=  53 il=  62 3/24/2020  n=   9 now=    3175 end=         82        33        55 U=     5.73 T=   61.5 p1= -97.4 p2=  3872.0 ed=    75 4/6/2020    x1=  53. x2=  62. y1=  1.48 y2=  -.09     
GP: Confirmed US_Pennsylvania_Northampton 3/24/2020        62    3175       82      33       55     2    75 4/6/2020  
AAA2     1 US_Pennsylvania_Northampton Confirmed cc1=  .978472 cc2=  .645139 lx=  4.13306 if=  54 il=  62 3/24/2020  n=   8 now=    3175 end=         62        33        55 U=     4.28 T=   60.1 p1= -98.0 p2=  5121.0 ed=    70 4/1/2020    x1=  54. x2=  62. y1=  1.42 y2=  -.45     
GP: Confirmed US_Pennsylvania_Northampton 3/24/2020        62    3175       62      33       55     2    70 4/1/2020  
AAA1     1 US_Pennsylvania_Northampton Confirmed cc1=  .986187 cc2=  .632633 lx=  4.06306 if=  55 il=  62 3/24/2020  n=   7 now=    3175 end=         58        33        55 U=     3.55 T=   60.0 p1= -98.2 p2=  5474.1 ed=    68 3/30/2020   x1=  55. x2=  62. y1=  1.40 y2=  -.57 BEST
AAA2     1 US_Pennsylvania_Northampton Confirmed cc1=  .986521 cc2=  .632633 lx=  3.96306 if=  55 il=  62 3/24/2020  n=   7 now=    3175 end=         58        33        55 U=     3.55 T=   60.0 p1= -98.2 p2=  5474.1 ed=    68 3/30/2020   x1=  55. x2=  62. y1=  1.40 y2=  -.57 BEST
GP: Confirmed US_Pennsylvania_Northampton 3/24/2020        62    3175       58      33       55     2    68 3/30/2020 
AAA1     1 US_Pennsylvania_Northampton Confirmed cc1=  .983500 cc2=  .605535 lx=  4.06306 if=  56 il=  62 3/24/2020  n=   6 now=    3175 end=         58        33        55 U=     3.05 T=   60.3 p1= -98.2 p2=  5474.1 ed=    67 3/29/2020   x1=  56. x2=  62. y1=  1.40 y2=  -.57 BEST
AAA2     1 US_Pennsylvania_Northampton Confirmed cc1=  .984946 cc2=  .605535 lx=  3.96306 if=  56 il=  62 3/24/2020  n=   6 now=    3175 end=         58        33        55 U=     3.05 T=   60.3 p1= -98.2 p2=  5474.1 ed=    67 3/29/2020   x1=  56. x2=  62. y1=  1.40 y2=  -.57 BEST
GP: Confirmed US_Pennsylvania_Northampton 3/24/2020        62    3175       58      33       55     2    67 3/29/2020 
AAA2     1 US_Pennsylvania_Northampton Confirmed cc1=  .984005 cc2=  .575757 lx=  4.14306 if=  57 il=  62 3/24/2020  n=   5 now=    3175 end=         62        33        55 U=     3.66 T=   60.4 p1= -98.0 p2=  5121.0 ed=    69 3/31/2020   x1=  57. x2=  62. y1=   .93 y2=  -.44     
GP: Confirmed US_Pennsylvania_Northampton 3/24/2020        62    3175       62      33       55     2    69 3/31/2020 
AAA2     1 US_Pennsylvania_Northampton Confirmed cc1=  .933817 cc2=  .666556 lx=  6.87306 if=  50 il=  63 3/25/2020  n=  13 now=    3175 end=        965        44        74 U=    16.25 T=   81.3 p1= -69.6 p2=   329.0 ed=   119 5/20/2020   x1=  50. x2=  63. y1=  1.93 y2=  1.13     
