TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        6369.00000        8.75920
TAB:  US_Texas_Tarrant Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Texas_Tarrant Confirmed .            22        0     6369        0        0        0        0        0
TAB:  US_Texas_Tarrant Confirmed 2/14/2020    23        0     6369        0        0        0        0        0
TAB:  US_Texas_Tarrant Confirmed .            24        0     6369        0        0        0        0        0
TAB:  US_Texas_Tarrant Confirmed 2/16/2020    25        0     6369        0        0        0        0        0
TAB:  US_Texas_Tarrant Confirmed .            26        0     6369        0        0        0        0        0
TAB:  US_Texas_Tarrant Confirmed 2/18/2020    27        0     6369        0        0        0        0        0
TAB:  US_Texas_Tarrant Confirmed .            28        0     6369        0        0        0        0        0
TAB:  US_Texas_Tarrant Confirmed 2/20/2020    29        0     6369        0        0        0        0        0
TAB:  US_Texas_Tarrant Confirmed .            30        0     6369        0        0        0        0        0
TAB:  US_Texas_Tarrant Confirmed 2/22/2020    31        0     6369        0        0        0        0        0
TAB:  US_Texas_Tarrant Confirmed .            32        0     6369        0        0        0        0        0
TAB:  US_Texas_Tarrant Confirmed 2/24/2020    33        0     6369        0        0        0        0        0
TAB:  US_Texas_Tarrant Confirmed .            34        0     6369        0        0        0        0        0
TAB:  US_Texas_Tarrant Confirmed 2/26/2020    35        0     6369        0        0        0        0        0
TAB:  US_Texas_Tarrant Confirmed .            36        0     6369        0        0        0        0        0
TAB:  US_Texas_Tarrant Confirmed 2/28/2020    37        0     6369        0        0        0        0        0
TAB:  US_Texas_Tarrant Confirmed .            38        0     6369        0        0        0        0        0
TAB:  US_Texas_Tarrant Confirmed 3/1/2020     39        0     6369        0        0        0        0        0
TAB:  US_Texas_Tarrant Confirmed .            40        0     6369        0        0        0        0        0
TAB:  US_Texas_Tarrant Confirmed 3/3/2020     41        0     6369        0        0        0        0        0
TAB:  US_Texas_Tarrant Confirmed .            42        0     6369        0        0        0        0        0
TAB:  US_Texas_Tarrant Confirmed 3/5/2020     43        0     6369        0        0        0        0        0
TAB:  US_Texas_Tarrant Confirmed .            44        0     6369        0        0        0        0        0
TAB:  US_Texas_Tarrant Confirmed 3/7/2020     45        0     6369        0        0        0        0        0
TAB:  US_Texas_Tarrant Confirmed .            46        0     6369        0        0        0        0        0
TAB:  US_Texas_Tarrant Confirmed 3/9/2020     47        0     6369        0        0        0        0        0
TAB:  US_Texas_Tarrant Confirmed .            48        0     6369        0        0        0        0        0
TAB:  US_Texas_Tarrant Confirmed 3/11/2020    49        1     6369        0        0        0        0        0
TAB:  US_Texas_Tarrant Confirmed .            50        1     6369        0        0        0        0        0
TAB:  US_Texas_Tarrant Confirmed 3/13/2020    51        3     6369        0        0        0        0        0
TAB:  US_Texas_Tarrant Confirmed .            52        3     6369        0        0        0        0        0
TAB:  US_Texas_Tarrant Confirmed 3/15/2020    53        4     6369        0        0        0        0        0
TAB:  US_Texas_Tarrant Confirmed .            54        5     6369        0        0        0        0        0
TAB:  US_Texas_Tarrant Confirmed 3/17/2020    55        6     6369        0        0        0        0        0
TAB:  US_Texas_Tarrant Confirmed .            56        8     6369      117        2      117      117      117
TAB:  US_Texas_Tarrant Confirmed 3/19/2020    57       19     6369        0        0        0        0        0
TAB:  US_Texas_Tarrant Confirmed .            58       29     6369        0        0        0        0        0
TAB:  US_Texas_Tarrant Confirmed 3/21/2020    59       42     6369        0        0        0        0        0
TAB:  US_Texas_Tarrant Confirmed .            60       47     6369      117        1      117      352      352
TAB:  US_Texas_Tarrant Confirmed 3/23/2020    61       57     6369      117        3      117      588      588
TAB:  US_Texas_Tarrant Confirmed .            62       71     6369      117        5      117     2235     2235
TAB:  US_Texas_Tarrant Confirmed 3/25/2020    63       90     6369      117        3      117    10235      823
TAB:  US_Texas_Tarrant Confirmed .            64      100     6369      117        3      117     9059     1294
TAB:  US_Texas_Tarrant Confirmed 3/27/2020    65      114     6369      215        2      187     1251      340
TAB:  US_Texas_Tarrant Confirmed .            66      128     6369      206        2      201      545      274
TAB:  US_Texas_Tarrant Confirmed 3/29/2020    67      139     6369      202        2      202      424      257
TAB:  US_Texas_Tarrant Confirmed .            68      238     6369     2021        1     2021     2021     2021
TAB:  US_Texas_Tarrant Confirmed 3/31/2020    69      273     6369     3137        1     3137     3462     3462
TAB:  US_Texas_Tarrant Confirmed .            70      288     6369      339        1      339     3187     2985
TAB:  US_Texas_Tarrant Confirmed 4/2/2020     71      325     6369      373        1      373     2916     2750
TAB:  US_Texas_Tarrant Confirmed .            72      383     6369      612        1      612     3013     2862
TAB:  US_Texas_Tarrant Confirmed 4/4/2020     73      404     6369      588        2      588     2941     2470
TAB:  US_Texas_Tarrant Confirmed .            74      418     6369      469        1      469     2188      847
TAB:  US_Texas_Tarrant Confirmed 4/6/2020     75      452     6369      535        1      535     1865      670
TAB:  US_Texas_Tarrant Confirmed .            76      517     6369     1556        1     1556     2564     1782
TAB:  US_Texas_Tarrant Confirmed 4/8/2020     77      588     6369     1764        3     1529     2000     1764
TAB:  US_Texas_Tarrant Confirmed .            78      637     6369     2000        3     1764     2000     2000
TAB:  US_Texas_Tarrant Confirmed 4/10/2020    79      705     6369     2000        3     1529     4823     2000
TAB:  US_Texas_Tarrant Confirmed .            80      746     6369     2000        3     1058     2235     1764
TAB:  US_Texas_Tarrant Confirmed 4/12/2020    81      787     6369     2000        5     1058    20824     2000
TAB:  US_Texas_Tarrant Confirmed .            82      876     6369     1764        3     1764    21529     2235
TAB:  US_Texas_Tarrant Confirmed 4/14/2020    83      929     6369     2302        4     1856    27108     2747
TAB:  US_Texas_Tarrant Confirmed .            84      990     6369     2235        8     2000    15412     3176
TAB:  US_Texas_Tarrant Confirmed 4/16/2020    85     1093     6369     2470        7     2470    20353     7411
TAB:  US_Texas_Tarrant Confirmed .            86     1175     6369     2705        5     2470    24353     7647
TAB:  US_Texas_Tarrant Confirmed 4/18/2020    87     1229     6369     2705        6     2705    24588     4823
TAB:  US_Texas_Tarrant Confirmed .            88     1229     6369     2684        3     1306     8764     3016
TAB:  US_Texas_Tarrant Confirmed 4/20/2020    89     1242     6369     1253        2     1253     5200     2722
TAB:  US_Texas_Tarrant Confirmed .            90     1333     6369     2543        3     1588     4054     2610
TAB:  US_Texas_Tarrant Confirmed 4/22/2020    91     1446     6369     2650        4     2430     4102     2892
TAB:  US_Texas_Tarrant Confirmed .            92     1559     6369     2941        5     2705    10706     4117
TAB:  US_Texas_Tarrant Confirmed 4/24/2020    93     1706     6369     3176        7     3176    25530     6000
TAB:  US_Texas_Tarrant Confirmed .            94     1836     6369     3411        6     3411     9294     7882
TAB:  US_Texas_Tarrant Confirmed 4/26/2020    95     1947     6369     3647        5     3647    14000     6000
TAB:  US_Texas_Tarrant Confirmed .            96     1983     6369     3882        5     2235    14000     5294
TAB:  US_Texas_Tarrant Confirmed 4/28/2020    97     2019     6369     3882        6     2000    37059     5294
TAB:  US_Texas_Tarrant Confirmed .            98     2088     6369     3882        5     2235    42942     5529
TAB:  US_Texas_Tarrant Confirmed 4/30/2020    99     2246     6369     4117        7     3176    30236     9059
TAB:  US_Texas_Tarrant Confirmed .           100     2317     6369     4117        6     3176    39412     9059
TAB:  US_Texas_Tarrant Confirmed 5/2/2020    101     2388     6369     4353        4     3176    16353     6000
TAB:  US_Texas_Tarrant Confirmed .           102     2503     6369     4353        5     3411    12117     7176
TAB:  US_Texas_Tarrant Confirmed 5/4/2020    103     2584     6369     4588        4     3647    10470     6470
TAB:  US_Texas_Tarrant Confirmed .           104     2624     6369     4586        4     3130     8808     5605
TAB:  US_Texas_Tarrant Confirmed 5/6/2020    105     2686     6369     7335        3     2907     7566     5332
TAB:  US_Texas_Tarrant Confirmed .           106     2956     6369     8117        6     4823     9059     6470
TAB:  US_Texas_Tarrant Confirmed 5/8/2020    107     3041     6369     8588        5     4823     9764     7647
TAB:  US_Texas_Tarrant Confirmed .           108     3127     6369     8588        6     5058    10000     8117
TAB:  US_Texas_Tarrant Confirmed 5/10/2020   109     3210     6369     5294        4     3411    10000     6941
TAB:  US_Texas_Tarrant Confirmed .           110     3695     6369     6011        3     5855    28029    13038
TAB:  US_Texas_Tarrant Confirmed 5/12/2020   111     3745     6369     6235        3     6235    45765    15412
TAB:  US_Texas_Tarrant Confirmed .           112     3810     6369     6470        4     3882    43412    14941
TAB:  US_Texas_Tarrant Confirmed 5/14/2020   113     4076     6369     6941        3     6000    42236    15412
TAB:  US_Texas_Tarrant Confirmed .           114     4211     6369     7176        2     4823    43412    16588
TAB:  US_Texas_Tarrant Confirmed 5/16/2020   115     4266     6369     7411        2     4823    42942    17059
TAB:  US_Texas_Tarrant Confirmed .           116     4350     6369     4588        3     4588    44354    17294
TAB:  US_Texas_Tarrant Confirmed 5/18/2020   117     4447     6369     4823        5     4823    46707    18000
TAB:  US_Texas_Tarrant Confirmed .           118     4559     6369     5058        3     4823    43883    17765
TAB:  US_Texas_Tarrant Confirmed 5/20/2020   119     4643     6369     5058        3     5058    36589    17765
TAB:  US_Texas_Tarrant Confirmed .           120     4711     6369     5058        3     5058    39412    16823
TAB:  US_Texas_Tarrant Confirmed 5/22/2020   121     4711     6369     5015        3     4897    23426    14575
TAB:  US_Texas_Tarrant Confirmed .           122     4899     6369     5529        4     5294    19176    14235
TAB:  US_Texas_Tarrant Confirmed 5/24/2020   123     4951     6369     5529        4     5529    37295    12117
TAB:  US_Texas_Tarrant Confirmed .           124     4977     6369     5529        5     5058    14706    10470
TAB:  US_Texas_Tarrant Confirmed 5/26/2020   125     4977     6369     5506        4     5039    13115     8776
TAB:  US_Texas_Tarrant Confirmed .           126     5039     6369     5398        5     5154    12108     8570
TAB:  US_Texas_Tarrant Confirmed 5/28/2020   127     5190     6369     5658        5     5658    11402     8760
TAB:  US_Texas_Tarrant Confirmed .           128     5284     6369    10706        9     5764    13059     8588
TAB:  US_Texas_Tarrant Confirmed 5/30/2020   129     5379     6369     6000        5     6000    13294     8823
TAB:  US_Texas_Tarrant Confirmed .           130     5463     6369    10000        7     6235    25059     8823
TAB:  US_Texas_Tarrant Confirmed 6/1/2020    131     5513     6369     7882        5     5764    21765     8353
TAB:  US_Texas_Tarrant Confirmed .           132     5534     6369     7882        6     5529    33765     8117
TAB:  US_Texas_Tarrant Confirmed 6/3/2020    133     5623     6369     6470        7     6000    17059     8117
TAB:  US_Texas_Tarrant Confirmed .           134     5761     6369     7882        6     6470    44354     8823
TAB:  US_Texas_Tarrant Confirmed 6/5/2020    135     5985     6369     9059        8     6941    28353     8353
TAB:  US_Texas_Tarrant Confirmed .           136     6029     6369     8117        8     7176    10470     8588
TAB:  US_Texas_Tarrant Confirmed 6/7/2020    137     6073     6369     7882        7     6235    10706     8588
TAB:  US_Texas_Tarrant Confirmed .           138     6150     6369     8117       10     6235    11176     8353
TAB:  US_Texas_Tarrant Confirmed 6/9/2020    139     6369     6369     8353       11     7882    13529     8823
AAA2     1 US_Texas_Tarrant Confirmed cc1=  .946955 cc2=  .538706 lx=  4.75920 if=  49 il=  54 3/16/2020  n=   5 now=    6369 end=        116         5         0 U=    12.11 T=   67.9 p1= -98.2 p2=  5490.5 ed=    96 4/27/2020   x1=  49. x2=  54. y1=  1.56 y2=  1.15     
GP: Confirmed US_Texas_Tarrant 3/16/2020        54    6369      116       5        0     0    96 4/27/2020 
AAA2     1 US_Texas_Tarrant Confirmed cc1=  .958281 cc2=  .580316 lx=  4.75920 if=  49 il=  55 3/17/2020  n=   6 now=    6369 end=        116         6         0 U=    12.70 T=   68.8 p1= -98.2 p2=  5490.5 ed=    98 4/29/2020   x1=  49. x2=  55. y1=  1.56 y2=  1.09     
GP: Confirmed US_Texas_Tarrant 3/17/2020        55    6369      116       6        0     0    98 4/29/2020 
AAA2     1 US_Texas_Tarrant Confirmed cc1=  .935197 cc2=  .526948 lx=  4.75920 if=  50 il=  55 3/17/2020  n=   5 now=    6369 end=        116         6         0 U=    10.58 T=   66.5 p1= -98.2 p2=  5490.5 ed=    91 4/22/2020   x1=  50. x2=  55. y1=  1.56 y2=  1.09     
GP: Confirmed US_Texas_Tarrant 3/17/2020        55    6369      116       6        0     0    91 4/22/2020 
AAA1     1 US_Texas_Tarrant Confirmed cc1=  .971076 cc2=  .617522 lx=  4.75920 if=  49 il=  56 3/18/2020  n=   7 now=    6369 end=        116         8       117 U=    12.19 T=   68.0 p1= -98.2 p2=  5490.5 ed=    96 4/27/2020   x1=  49. x2=  56. y1=  1.56 y2=   .99 BEST
AAA2     1 US_Texas_Tarrant Confirmed cc1=  .971434 cc2=  .617522 lx=  4.65920 if=  49 il=  56 3/18/2020  n=   7 now=    6369 end=        116         8       117 U=    12.19 T=   68.0 p1= -98.2 p2=  5490.5 ed=    96 4/27/2020   x1=  49. x2=  56. y1=  1.56 y2=   .99 BEST
GP: Confirmed US_Texas_Tarrant 3/18/2020        56    6369      116       8      117     2    96 4/27/2020 
AAA1     1 US_Texas_Tarrant Confirmed cc1=  .957147 cc2=  .579183 lx=  4.75920 if=  50 il=  56 3/18/2020  n=   6 now=    6369 end=        116         8       117 U=    10.45 T=   66.3 p1= -98.2 p2=  5490.5 ed=    90 4/21/2020   x1=  50. x2=  56. y1=  1.56 y2=   .99 BEST
AAA2     1 US_Texas_Tarrant Confirmed cc1=  .957729 cc2=  .579183 lx=  4.65920 if=  50 il=  56 3/18/2020  n=   6 now=    6369 end=        116         8       117 U=    10.45 T=   66.3 p1= -98.2 p2=  5490.5 ed=    90 4/21/2020   x1=  50. x2=  56. y1=  1.56 y2=   .99 BEST
GP: Confirmed US_Texas_Tarrant 3/18/2020        56    6369      116       8      117     2    90 4/21/2020 
AAA2     1 US_Texas_Tarrant Confirmed cc1=  .982286 cc2=  .574038 lx= 10.75920 if=  51 il=  56 3/18/2020  n=   5 now=    6369 end=      47060         8       117 U=    46.70 T=  156.9 p1= 638.9 p2=    13.5 ed=   267 10/15/2020  x1=  51. x2=  56. y1=  2.27 y2=  2.16     
GP: Confirmed US_Texas_Tarrant 3/18/2020        56    6369    -           8      117     2   267 10/15/2020
AAA2     1 US_Texas_Tarrant Confirmed cc1=  .962443 cc2=  .629110 lx= 10.75920 if=  49 il=  57 3/19/2020  n=   8 now=    6369 end=      47060        19         0 U=    25.02 T=  108.4 p1= 638.9 p2=    13.5 ed=   167 7/7/2020    x1=  49. x2=  57. y1=  2.38 y2=  2.06     
GP: Confirmed US_Texas_Tarrant 3/19/2020        57    6369    -          19        0     0   167 7/7/2020  
AAA2     1 US_Texas_Tarrant Confirmed cc1=  .949291 cc2=  .595738 lx= 10.75920 if=  50 il=  57 3/19/2020  n=   7 now=    6369 end=      47060        19         0 U=    21.89 T=  102.0 p1= 638.9 p2=    13.5 ed=   153 6/23/2020   x1=  50. x2=  57. y1=  2.38 y2=  2.06     
GP: Confirmed US_Texas_Tarrant 3/19/2020        57    6369    -          19        0     0   153 6/23/2020 
AAA2     1 US_Texas_Tarrant Confirmed cc1=  .928055 cc2=  .550091 lx= 10.75920 if=  51 il=  57 3/19/2020  n=   6 now=    6369 end=      47060        19         0 U=    28.30 T=  115.2 p1= 638.9 p2=    13.5 ed=   181 7/21/2020   x1=  51. x2=  57. y1=  2.27 y2=  2.06     
GP: Confirmed US_Texas_Tarrant 3/19/2020        57    6369    -          19        0     0   181 7/21/2020 
AAA2     1 US_Texas_Tarrant Confirmed cc1=  .940792 cc2=  .532544 lx= 10.75920 if=  52 il=  57 3/19/2020  n=   5 now=    6369 end=      47060        19         0 U=    23.58 T=  105.5 p1= 638.9 p2=    13.5 ed=   161 7/1/2020    x1=  52. x2=  57. y1=  2.27 y2=  2.06     
GP: Confirmed US_Texas_Tarrant 3/19/2020        57    6369    -          19        0     0   161 7/1/2020  
AAA2     1 US_Texas_Tarrant Confirmed cc1=  .967585 cc2=  .651357 lx= 10.75920 if=  49 il=  58 3/20/2020  n=   9 now=    6369 end=      47060        29         0 U=    23.98 T=  106.0 p1= 638.9 p2=    13.5 ed=   162 7/2/2020    x1=  49. x2=  58. y1=  2.38 y2=  2.00     
GP: Confirmed US_Texas_Tarrant 3/20/2020        58    6369    -          29        0     0   162 7/2/2020  
AAA2     1 US_Texas_Tarrant Confirmed cc1=  .959887 cc2=  .626553 lx= 10.75920 if=  50 il=  58 3/20/2020  n=   8 now=    6369 end=      47060        29         0 U=    21.31 T=  100.6 p1= 638.9 p2=    13.5 ed=   150 6/20/2020   x1=  50. x2=  58. y1=  2.38 y2=  2.00     
GP: Confirmed US_Texas_Tarrant 3/20/2020        58    6369    -          29        0     0   150 6/20/2020 
AAA2     1 US_Texas_Tarrant Confirmed cc1=  .942491 cc2=  .588937 lx= 10.75920 if=  51 il=  58 3/20/2020  n=   7 now=    6369 end=      47060        29         0 U=    26.15 T=  110.3 p1= 638.9 p2=    13.5 ed=   172 7/12/2020   x1=  51. x2=  58. y1=  2.27 y2=  2.00     
GP: Confirmed US_Texas_Tarrant 3/20/2020        58    6369    -          29        0     0   172 7/12/2020 
AAA2     1 US_Texas_Tarrant Confirmed cc1=  .956651 cc2=  .578687 lx= 10.75920 if=  52 il=  58 3/20/2020  n=   6 now=    6369 end=      47060        29         0 U=    22.42 T=  102.8 p1= 638.9 p2=    13.5 ed=   155 6/25/2020   x1=  52. x2=  58. y1=  2.27 y2=  2.00     
GP: Confirmed US_Texas_Tarrant 3/20/2020        58    6369    -          29        0     0   155 6/25/2020 
AAA2     1 US_Texas_Tarrant Confirmed cc1=  .956201 cc2=  .547953 lx= 10.75920 if=  53 il=  58 3/20/2020  n=   5 now=    6369 end=      47060        29         0 U=    21.06 T=  100.1 p1= 638.9 p2=    13.5 ed=   149 6/19/2020   x1=  53. x2=  58. y1=  2.24 y2=  2.00     
GP: Confirmed US_Texas_Tarrant 3/20/2020        58    6369    -          29        0     0   149 6/19/2020 
AAA2     1 US_Texas_Tarrant Confirmed cc1=  .973363 cc2=  .671852 lx= 10.75920 if=  49 il=  59 3/21/2020  n=  10 now=    6369 end=      47060        42         0 U=    23.43 T=  104.7 p1= 638.9 p2=    13.5 ed=   159 6/29/2020   x1=  49. x2=  59. y1=  2.38 y2=  1.95     
GP: Confirmed US_Texas_Tarrant 3/21/2020        59    6369    -          42        0     0   159 6/29/2020 
AAA2     1 US_Texas_Tarrant Confirmed cc1=  .969057 cc2=  .652830 lx= 10.75920 if=  50 il=  59 3/21/2020  n=   9 now=    6369 end=      47060        42         0 U=    21.09 T=  100.1 p1= 638.9 p2=    13.5 ed=   149 6/19/2020   x1=  50. x2=  59. y1=  2.38 y2=  1.95     
GP: Confirmed US_Texas_Tarrant 3/21/2020        59    6369    -          42        0     0   149 6/19/2020 
AAA2     1 US_Texas_Tarrant Confirmed cc1=  .957199 cc2=  .623865 lx= 10.75920 if=  51 il=  59 3/21/2020  n=   8 now=    6369 end=      47060        42         0 U=    25.07 T=  107.9 p1= 638.9 p2=    13.5 ed=   167 7/7/2020    x1=  51. x2=  59. y1=  2.27 y2=  1.95     
GP: Confirmed US_Texas_Tarrant 3/21/2020        59    6369    -          42        0     0   167 7/7/2020  
AAA2     1 US_Texas_Tarrant Confirmed cc1=  .969927 cc2=  .616374 lx= 10.75920 if=  52 il=  59 3/21/2020  n=   7 now=    6369 end=      47060        42         0 U=    21.94 T=  101.8 p1= 638.9 p2=    13.5 ed=   153 6/23/2020   x1=  52. x2=  59. y1=  2.27 y2=  1.95     
GP: Confirmed US_Texas_Tarrant 3/21/2020        59    6369    -          42        0     0   153 6/23/2020 
AAA2     1 US_Texas_Tarrant Confirmed cc1=  .972556 cc2=  .594591 lx= 10.75920 if=  53 il=  59 3/21/2020  n=   6 now=    6369 end=      47060        42         0 U=    20.77 T=   99.5 p1= 638.9 p2=    13.5 ed=   148 6/18/2020   x1=  53. x2=  59. y1=  2.24 y2=  1.95     
GP: Confirmed US_Texas_Tarrant 3/21/2020        59    6369    -          42        0     0   148 6/18/2020 
AAA2     1 US_Texas_Tarrant Confirmed cc1=  .980268 cc2=  .572020 lx= 10.75920 if=  54 il=  59 3/21/2020  n=   5 now=    6369 end=      47060        42         0 U=    18.89 T=   95.8 p1= 638.9 p2=    13.5 ed=   140 6/10/2020   x1=  54. x2=  59. y1=  2.21 y2=  1.95     
GP: Confirmed US_Texas_Tarrant 3/21/2020        59    6369    -          42        0     0   140 6/10/2020 
AAA2     1 US_Texas_Tarrant Confirmed cc1=  .979564 cc2=  .690889 lx= 10.75920 if=  49 il=  60 3/22/2020  n=  11 now=    6369 end=      47060        47       117 U=    24.83 T=  108.0 p1= 638.9 p2=    13.5 ed=   166 7/6/2020    x1=  49. x2=  60. y1=  2.38 y2=  1.93     
GP: Confirmed US_Texas_Tarrant 3/22/2020        60    6369    -          47      117     1   166 7/6/2020  
AAA2     1 US_Texas_Tarrant Confirmed cc1=  .976734 cc2=  .675223 lx= 10.75920 if=  50 il=  60 3/22/2020  n=  10 now=    6369 end=      47060        47       117 U=    22.58 T=  103.6 p1= 638.9 p2=    13.5 ed=   156 6/26/2020   x1=  50. x2=  60. y1=  2.38 y2=  1.93     
GP: Confirmed US_Texas_Tarrant 3/22/2020        60    6369    -          47      117     1   156 6/26/2020 
AAA2     1 US_Texas_Tarrant Confirmed cc1=  .968857 cc2=  .652629 lx= 10.75920 if=  51 il=  60 3/22/2020  n=   9 now=    6369 end=      47060        47       117 U=    26.85 T=  111.9 p1= 638.9 p2=    13.5 ed=   175 7/15/2020   x1=  51. x2=  60. y1=  2.27 y2=  1.93     
GP: Confirmed US_Texas_Tarrant 3/22/2020        60    6369    -          47      117     1   175 7/15/2020 
AAA2     1 US_Texas_Tarrant Confirmed cc1=  .978015 cc2=  .644682 lx= 10.75920 if=  52 il=  60 3/22/2020  n=   8 now=    6369 end=      47060        47       117 U=    23.86 T=  106.1 p1= 638.9 p2=    13.5 ed=   162 7/2/2020    x1=  52. x2=  60. y1=  2.27 y2=  1.93     
GP: Confirmed US_Texas_Tarrant 3/22/2020        60    6369    -          47      117     1   162 7/2/2020  
AAA2     1 US_Texas_Tarrant Confirmed cc1=  .978915 cc2=  .625362 lx= 10.75920 if=  53 il=  60 3/22/2020  n=   7 now=    6369 end=      47060        47       117 U=    22.95 T=  104.4 p1= 638.9 p2=    13.5 ed=   158 6/28/2020   x1=  53. x2=  60. y1=  2.24 y2=  1.93     
GP: Confirmed US_Texas_Tarrant 3/22/2020        60    6369    -          47      117     1   158 6/28/2020 
AAA2     1 US_Texas_Tarrant Confirmed cc1=  .982023 cc2=  .604059 lx=  5.62920 if=  54 il=  60 3/22/2020  n=   6 now=    6369 end=        278        47       117 U=     7.36 T=   64.2 p1= -95.6 p2=  2291.0 ed=    81 4/12/2020   x1=  54. x2=  60. y1=  1.39 y2=   .58     
GP: Confirmed US_Texas_Tarrant 3/22/2020        60    6369      278      47      117     1    81 4/12/2020 
AAA1     1 US_Texas_Tarrant Confirmed cc1=  .989258 cc2=  .581010 lx=  4.75920 if=  55 il=  60 3/22/2020  n=   5 now=    6369 end=        116        47       117 U=     4.23 T=   59.6 p1= -98.2 p2=  5490.5 ed=    69 3/31/2020   x1=  55. x2=  60. y1=  1.09 y2=  -.10 BEST
AAA2     1 US_Texas_Tarrant Confirmed cc1=  .989686 cc2=  .581010 lx=  4.65920 if=  55 il=  60 3/22/2020  n=   5 now=    6369 end=        116        47       117 U=     4.23 T=   59.6 p1= -98.2 p2=  5490.5 ed=    69 3/31/2020   x1=  55. x2=  60. y1=  1.09 y2=  -.10 BEST
GP: Confirmed US_Texas_Tarrant 3/22/2020        60    6369      116      47      117     1    69 3/31/2020 
AAA2     1 US_Texas_Tarrant Confirmed cc1=  .983663 cc2=  .706313 lx= 10.75920 if=  49 il=  61 3/23/2020  n=  12 now=    6369 end=      47060        57       117 U=    25.46 T=  109.5 p1= 638.9 p2=    13.5 ed=   169 7/9/2020    x1=  49. x2=  61. y1=  2.38 y2=  1.90     
GP: Confirmed US_Texas_Tarrant 3/23/2020        61    6369    -          57      117     3   169 7/9/2020  
AAA2     1 US_Texas_Tarrant Confirmed cc1=  .981458 cc2=  .692782 lx= 10.75920 if=  50 il=  61 3/23/2020  n=  11 now=    6369 end=      47060        57       117 U=    23.34 T=  105.5 p1= 638.9 p2=    13.5 ed=   160 6/30/2020   x1=  50. x2=  61. y1=  2.38 y2=  1.90     
GP: Confirmed US_Texas_Tarrant 3/23/2020        61    6369    -          57      117     3   160 6/30/2020 
AAA2     1 US_Texas_Tarrant Confirmed cc1=  .975871 cc2=  .674360 lx= 10.75920 if=  51 il=  61 3/23/2020  n=  10 now=    6369 end=      47060        57       117 U=    27.51 T=  113.4 p1= 638.9 p2=    13.5 ed=   178 7/18/2020   x1=  51. x2=  61. y1=  2.27 y2=  1.90     
GP: Confirmed US_Texas_Tarrant 3/23/2020        61    6369    -          57      117     3   178 7/18/2020 
AAA2     1 US_Texas_Tarrant Confirmed cc1=  .981992 cc2=  .665764 lx= 10.75920 if=  52 il=  61 3/23/2020  n=   9 now=    6369 end=      47060        57       117 U=    24.76 T=  108.1 p1= 638.9 p2=    13.5 ed=   166 7/6/2020    x1=  52. x2=  61. y1=  2.27 y2=  1.90     
GP: Confirmed US_Texas_Tarrant 3/23/2020        61    6369    -          57      117     3   166 7/6/2020  
