TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        3284.00000        8.09682
TAB:  Italy_Friuli_Venezia_Giulia Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .            62      992     3284     2972        3     1152     4064     3215
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 3/25/2020    63     1139     3284     3215        3     2365    12557     3579
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .            64     1223     3284     3622        3     2121     6428     3426
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 3/27/2020    65     1317     3284     3336        4     2244     7340     3821
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .            66     1436     3284     3579        3     2608     6369     3821
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 3/29/2020    67     1480     3284     3824        2     1847     3895     3377
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .            68     1501     3284     3121        3     1573     3423     3032
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 3/31/2020    69     1593     3284     2202        2     1901     3257     2855
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .            70     1685     3284     2413        3     2153     3194     2852
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 4/2/2020     71     1799     3284     2972        7     2487     4185     2972
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .            72     1879     3284     2972        8     2729     5398     3093
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 4/4/2020     73     1986     3284     3215        8     2972     8674     3336
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .            74     2048     3284     3215       11     2851    16075     3579
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 4/6/2020     75     2103     3284     3215       12     2365     6854     3336
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .            76     2153     3284     3192        5     2336     4267     3148
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 4/8/2020     77     2218     3284     3161        7     2501     3344     3087
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .            78     2299     3284     3215       14     2851     3579     3215
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 4/10/2020    79     2349     3284     3215       17     2851     3579     3215
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .            80     2393     3284     3157        7     2860     5042     3190
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 4/12/2020    81     2431     3284     3157       11     2587     3257     3090
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .            82     2482     3284     3162       13     2747     3162     3002
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 4/14/2020    83     2520     3284     3118       10     2804     3192     3007
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .            84     2544     3284     3115        9     2768     3115     2942
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 4/16/2020    85     2616     3284     3093       25     2972    21535     3215
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .            86     2675     3284     3215       24     3093     4671     3579
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 4/18/2020    87     2731     3284     3215       24     3215     7946     3943
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .            88     2745     3284     3215       23     2972     5277     3579
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 4/20/2020    89     2775     3284     3190       17     2815     9947     3415
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .            90     2792     3284     3210       14     2825     3777     3291
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 4/22/2020    91     2817     3284     3223       14     2884     3341     3257
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .            92     2858     3284     3215       32     2972     3457     3336
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 4/24/2020    93     2882     3284     3215       32     3093     3700     3336
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .            94     2903     3284     3215       39     3093     3579     3336
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 4/26/2020    95     2917     3284     3215       40     2972     3336     3215
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .            96     2977     3284     3215       25     3215     3336     3336
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 4/28/2020    97     2995     3284     3336       24     3215     3821     3457
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .            98     3010     3284     3336       26     3215     7340     3457
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 4/30/2020    99     3025     3284     3336       28     3093     5520     3579
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .           100     3041     3284     3240       15     3056     3863     3309
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 5/2/2020    101     3059     3284     3336       33     3093     3700     3457
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .           102     3072     3284     3336       37     3093     4185     3336
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 5/4/2020    103     3076     3284     3291       19     3123     3324     3257
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .           104     3085     3284     3275       25     3126     3275     3225
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 5/6/2020    105     3094     3284     3258       24     3127     3258     3192
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .           106     3107     3284     3215       50     3215     3336     3336
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 5/8/2020    107     3116     3284     3215       56     3215     3336     3336
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .           108     3124     3284     3215       57     3215     3579     3336
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 5/10/2020   109     3130     3284     3277       39     3194     4189     3277
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .           110     3138     3284     3253       39     3184     3391     3253
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 5/12/2020   111     3148     3284     3215       55     3215     3579     3336
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .           112     3156     3284     3215       54     3215     3579     3336
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 5/14/2020   113     3161     3284     3215       54     3215     3943     3457
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .           114     3175     3284     3215       52     3215     4185     3579
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 5/16/2020   115     3183     3284     3215       51     3215    16560     3821
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .           116     3191     3284     3215       49     3215     5156     4064
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 5/18/2020   117     3198     3284     3215       43     3215     6976     3943
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .           118     3203     3284     3336       32     3215     4064     3579
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 5/20/2020   119     3209     3284     3292       34     3252     3704     3410
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .           120     3215     3284     3278       45     3242     3548     3422
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 5/22/2020   121     3227     3284     3336       54     3336     3700     3579
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .           122     3233     3284     3336       51     3336     3700     3579
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 5/24/2020   123     3236     3284     3336       54     3336     9160     3579
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .           124     3240     3284     3281       36     3245     3530     3388
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 5/26/2020   125     3251     3284     3336       52     3336     5277     3943
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .           126     3255     3284     3336       52     3336     4064     3700
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 5/28/2020   127     3262     3284     3336       50     3336     3943     3700
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .           128     3267     3284     3336       51     3336     3700     3579
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 5/30/2020   129     3271     3284     3336       55     3336     3579     3457
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .           130     3273     3284     3321       40     3286     3443     3391
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 6/1/2020    131     3274     3284     3322       43     3288     3426     3357
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .           132     3276     3284     3322       44     3288     3426     3357
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 6/3/2020    133     3276     3284     3324       45     3289     3392     3358
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .           134     3279     3284     3336       83     3336     3336     3336
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 6/5/2020    135     3280     3284     3336       83     3336     3336     3336
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .           136     3283     3284     3336       84     3336     3336     3336
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 6/7/2020    137     3283     3284     3336       84     3336     9038     9038
TAB:  Italy_Friuli_Venezia_Giulia Confirmed .           138     3284     3284     3336       87     3336     3336     3336
TAB:  Italy_Friuli_Venezia_Giulia Confirmed 6/9/2020    139     3284     3284     3324       81     3324     3324     3324
AAA2     1 Italy_Friuli_Venezia_Giulia Confirmed cc1=  .995523 cc2=  .587275 lx=  6.73682 if=  39 il=  44 3/6/2020   n=   5 now=    3284 end=        842        31         0 U=    12.39 T=   58.8 p1= -74.4 p2=   390.0 ed=    88 4/19/2020   x1=  39. x2=  44. y1=  1.60 y2=  1.19     
GP: Confirmed Italy_Friuli_Venezia_Giulia 3/6/2020         44    3284      842      31        0     0    88 4/19/2020 
AAA1     1 Italy_Friuli_Venezia_Giulia Confirmed cc1=  .996824 cc2=  .618859 lx=  9.44682 if=  39 il=  45 3/7/2020   n=   6 now=    3284 end=      12667        42     12678 U=    20.46 T=   80.6 p1= 285.7 p2=    25.9 ed=   128 5/29/2020   x1=  39. x2=  45. y1=  2.04 y2=  1.74 BEST
AAA2     1 Italy_Friuli_Venezia_Giulia Confirmed cc1=  .996824 cc2=  .618859 lx=  9.44482 if=  39 il=  45 3/7/2020   n=   6 now=    3284 end=      12667        42     12678 U=    20.46 T=   80.6 p1= 285.7 p2=    25.9 ed=   128 5/29/2020   x1=  39. x2=  45. y1=  2.04 y2=  1.74 BEST
GP: Confirmed Italy_Friuli_Venezia_Giulia 3/7/2020         45    3284    -          42    -         1   128 5/29/2020 
AAA2     1 Italy_Friuli_Venezia_Giulia Confirmed cc1=  .995418 cc2=  .587169 lx= 10.09682 if=  40 il=  45 3/7/2020   n=   5 now=    3284 end=      24265        42     12678 U=    23.05 T=   87.6 p1= 638.9 p2=    13.5 ed=   142 6/12/2020   x1=  40. x2=  45. y1=  2.07 y2=  1.85     
GP: Confirmed Italy_Friuli_Venezia_Giulia 3/7/2020         45    3284    -          42    -         1   142 6/12/2020 
AAA2     1 Italy_Friuli_Venezia_Giulia Confirmed cc1=  .997633 cc2=  .644080 lx= 10.09682 if=  39 il=  46 3/8/2020   n=   7 now=    3284 end=      24265        57         0 U=    22.14 T=   85.9 p1= 638.9 p2=    13.5 ed=   138 6/8/2020    x1=  39. x2=  46. y1=  2.12 y2=  1.80     
GP: Confirmed Italy_Friuli_Venezia_Giulia 3/8/2020         46    3284    -          57        0     0   138 6/8/2020  
AAA2     1 Italy_Friuli_Venezia_Giulia Confirmed cc1=  .996567 cc2=  .618602 lx= 10.09682 if=  40 il=  46 3/8/2020   n=   6 now=    3284 end=      24265        57         0 U=    22.55 T=   86.6 p1= 638.9 p2=    13.5 ed=   139 6/9/2020    x1=  40. x2=  46. y1=  2.07 y2=  1.80     
GP: Confirmed Italy_Friuli_Venezia_Giulia 3/8/2020         46    3284    -          57        0     0   139 6/9/2020  
AAA2     1 Italy_Friuli_Venezia_Giulia Confirmed cc1=  .994576 cc2=  .586328 lx= 10.09682 if=  41 il=  46 3/8/2020   n=   5 now=    3284 end=      24265        57         0 U=    22.89 T=   87.2 p1= 638.9 p2=    13.5 ed=   141 6/11/2020   x1=  41. x2=  46. y1=  2.02 y2=  1.80     
GP: Confirmed Italy_Friuli_Venezia_Giulia 3/8/2020         46    3284    -          57        0     0   141 6/11/2020 
AAA2     1 Italy_Friuli_Venezia_Giulia Confirmed cc1=  .993655 cc2=  .660322 lx= 10.09682 if=  39 il=  47 3/9/2020   n=   8 now=    3284 end=      24265        93         0 U=    19.97 T=   81.3 p1= 638.9 p2=    13.5 ed=   128 5/29/2020   x1=  39. x2=  47. y1=  2.12 y2=  1.72     
GP: Confirmed Italy_Friuli_Venezia_Giulia 3/9/2020         47    3284    -          93        0     0   128 5/29/2020 
AAA2     1 Italy_Friuli_Venezia_Giulia Confirmed cc1=  .991234 cc2=  .637681 lx= 10.09682 if=  40 il=  47 3/9/2020   n=   7 now=    3284 end=      24265        93         0 U=    19.97 T=   81.3 p1= 638.9 p2=    13.5 ed=   128 5/29/2020   x1=  40. x2=  47. y1=  2.07 y2=  1.72     
GP: Confirmed Italy_Friuli_Venezia_Giulia 3/9/2020         47    3284    -          93        0     0   128 5/29/2020 
AAA2     1 Italy_Friuli_Venezia_Giulia Confirmed cc1=  .988513 cc2=  .610549 lx= 10.09682 if=  41 il=  47 3/9/2020   n=   6 now=    3284 end=      24265        93         0 U=    19.82 T=   81.0 p1= 638.9 p2=    13.5 ed=   127 5/28/2020   x1=  41. x2=  47. y1=  2.02 y2=  1.72     
GP: Confirmed Italy_Friuli_Venezia_Giulia 3/9/2020         47    3284    -          93        0     0   127 5/28/2020 
AAA2     1 Italy_Friuli_Venezia_Giulia Confirmed cc1=  .987412 cc2=  .579164 lx= 10.09682 if=  42 il=  47 3/9/2020   n=   5 now=    3284 end=      24265        93         0 U=    19.33 T=   80.2 p1= 638.9 p2=    13.5 ed=   125 5/26/2020   x1=  42. x2=  47. y1=  1.97 y2=  1.72     
GP: Confirmed Italy_Friuli_Venezia_Giulia 3/9/2020         47    3284    -          93        0     0   125 5/26/2020 
AAA2     1 Italy_Friuli_Venezia_Giulia Confirmed cc1=  .994776 cc2=  .678548 lx= 10.09682 if=  39 il=  48 3/10/2020  n=   9 now=    3284 end=      24265       116         0 U=    20.41 T=   82.2 p1= 638.9 p2=    13.5 ed=   130 5/31/2020   x1=  39. x2=  48. y1=  2.12 y2=  1.68     
GP: Confirmed Italy_Friuli_Venezia_Giulia 3/10/2020        48    3284    -         116        0     0   130 5/31/2020 
AAA2     1 Italy_Friuli_Venezia_Giulia Confirmed cc1=  .993255 cc2=  .659922 lx= 10.09682 if=  40 il=  48 3/10/2020  n=   8 now=    3284 end=      24265       116         0 U=    20.46 T=   82.3 p1= 638.9 p2=    13.5 ed=   130 5/31/2020   x1=  40. x2=  48. y1=  2.07 y2=  1.68     
GP: Confirmed Italy_Friuli_Venezia_Giulia 3/10/2020        48    3284    -         116        0     0   130 5/31/2020 
AAA2     1 Italy_Friuli_Venezia_Giulia Confirmed cc1=  .991932 cc2=  .638379 lx= 10.09682 if=  41 il=  48 3/10/2020  n=   7 now=    3284 end=      24265       116         0 U=    20.39 T=   82.2 p1= 638.9 p2=    13.5 ed=   130 5/31/2020   x1=  41. x2=  48. y1=  2.02 y2=  1.68     
GP: Confirmed Italy_Friuli_Venezia_Giulia 3/10/2020        48    3284    -         116        0     0   130 5/31/2020 
AAA2     1 Italy_Friuli_Venezia_Giulia Confirmed cc1=  .992064 cc2=  .614100 lx= 10.09682 if=  42 il=  48 3/10/2020  n=   6 now=    3284 end=      24265       116         0 U=    20.06 T=   81.6 p1= 638.9 p2=    13.5 ed=   128 5/29/2020   x1=  42. x2=  48. y1=  1.97 y2=  1.68     
GP: Confirmed Italy_Friuli_Venezia_Giulia 3/10/2020        48    3284    -         116        0     0   128 5/29/2020 
AAA2     1 Italy_Friuli_Venezia_Giulia Confirmed cc1=  .995969 cc2=  .587721 lx= 10.09682 if=  43 il=  48 3/10/2020  n=   5 now=    3284 end=      24265       116         0 U=    18.02 T=   78.2 p1= 638.9 p2=    13.5 ed=   120 5/21/2020   x1=  43. x2=  48. y1=  1.95 y2=  1.68     
GP: Confirmed Italy_Friuli_Venezia_Giulia 3/10/2020        48    3284    -         116        0     0   120 5/21/2020 
AAA2     1 Italy_Friuli_Venezia_Giulia Confirmed cc1=  .995491 cc2=  .693980 lx= 10.09682 if=  39 il=  49 3/11/2020  n=  10 now=    3284 end=      24265       126       303 U=    21.90 T=   85.4 p1= 638.9 p2=    13.5 ed=   137 6/7/2020    x1=  39. x2=  49. y1=  2.12 y2=  1.66     
GP: Confirmed Italy_Friuli_Venezia_Giulia 3/11/2020        49    3284    -         126      303     1   137 6/7/2020  
AAA2     1 Italy_Friuli_Venezia_Giulia Confirmed cc1=  .994151 cc2=  .677924 lx= 10.09682 if=  40 il=  49 3/11/2020  n=   9 now=    3284 end=      24265       126       303 U=    22.14 T=   85.8 p1= 638.9 p2=    13.5 ed=   137 6/7/2020    x1=  40. x2=  49. y1=  2.07 y2=  1.66     
GP: Confirmed Italy_Friuli_Venezia_Giulia 3/11/2020        49    3284    -         126      303     1   137 6/7/2020  
AAA2     1 Italy_Friuli_Venezia_Giulia Confirmed cc1=  .992651 cc2=  .659318 lx= 10.09682 if=  41 il=  49 3/11/2020  n=   8 now=    3284 end=      24265       126       303 U=    22.29 T=   86.0 p1= 638.9 p2=    13.5 ed=   138 6/8/2020    x1=  41. x2=  49. y1=  2.02 y2=  1.66     
GP: Confirmed Italy_Friuli_Venezia_Giulia 3/11/2020        49    3284    -         126      303     1   138 6/8/2020  
AAA2     1 Italy_Friuli_Venezia_Giulia Confirmed cc1=  .991375 cc2=  .637822 lx= 10.09682 if=  42 il=  49 3/11/2020  n=   7 now=    3284 end=      24265       126       303 U=    22.24 T=   85.9 p1= 638.9 p2=    13.5 ed=   138 6/8/2020    x1=  42. x2=  49. y1=  1.97 y2=  1.66     
GP: Confirmed Italy_Friuli_Venezia_Giulia 3/11/2020        49    3284    -         126      303     1   138 6/8/2020  
AAA1     1 Italy_Friuli_Venezia_Giulia Confirmed cc1=  .987947 cc2=  .579699 lx=  5.49682 if=  44 il=  49 3/11/2020  n=   5 now=    3284 end=        243       126       303 U=     4.39 T=   47.2 p1= -92.6 p2=  1351.4 ed=    57 3/19/2020   x1=  44. x2=  49. y1=   .72 y2=  -.41 BEST
AAA2     1 Italy_Friuli_Venezia_Giulia Confirmed cc1=  .987947 cc2=  .579699 lx=  5.49782 if=  44 il=  49 3/11/2020  n=   5 now=    3284 end=        243       126       303 U=     4.39 T=   47.2 p1= -92.6 p2=  1351.4 ed=    57 3/19/2020   x1=  44. x2=  49. y1=   .72 y2=  -.41 BEST
GP: Confirmed Italy_Friuli_Venezia_Giulia 3/11/2020        49    3284      243     126      303     1    57 3/19/2020 
AAA2     1 Italy_Friuli_Venezia_Giulia Confirmed cc1=  .996476 cc2=  .707801 lx= 10.09682 if=  39 il=  50 3/12/2020  n=  11 now=    3284 end=      24265       167       545 U=    21.50 T=   84.5 p1= 638.9 p2=    13.5 ed=   135 6/5/2020    x1=  39. x2=  50. y1=  2.12 y2=  1.61     
GP: Confirmed Italy_Friuli_Venezia_Giulia 3/12/2020        50    3284    -         167      545     1   135 6/5/2020  
AAA2     1 Italy_Friuli_Venezia_Giulia Confirmed cc1=  .995509 cc2=  .693998 lx= 10.09682 if=  40 il=  50 3/12/2020  n=  10 now=    3284 end=      24265       167       545 U=    21.66 T=   84.8 p1= 638.9 p2=    13.5 ed=   135 6/5/2020    x1=  40. x2=  50. y1=  2.07 y2=  1.61     
GP: Confirmed Italy_Friuli_Venezia_Giulia 3/12/2020        50    3284    -         167      545     1   135 6/5/2020  
AAA2     1 Italy_Friuli_Venezia_Giulia Confirmed cc1=  .994411 cc2=  .678183 lx= 10.09682 if=  41 il=  50 3/12/2020  n=   9 now=    3284 end=      24265       167       545 U=    21.74 T=   84.9 p1= 638.9 p2=    13.5 ed=   136 6/6/2020    x1=  41. x2=  50. y1=  2.02 y2=  1.61     
GP: Confirmed Italy_Friuli_Venezia_Giulia 3/12/2020        50    3284    -         167      545     1   136 6/6/2020  
AAA2     1 Italy_Friuli_Venezia_Giulia Confirmed cc1=  .993453 cc2=  .660120 lx=  8.58682 if=  42 il=  50 3/12/2020  n=   8 now=    3284 end=       5360       167       545 U=    16.13 T=   70.1 p1=  63.2 p2=    61.3 ed=   108 5/9/2020    x1=  42. x2=  50. y1=  1.74 y2=  1.24     
GP: Confirmed Italy_Friuli_Venezia_Giulia 3/12/2020        50    3284     5360     167      545     1   108 5/9/2020  
AAA2     1 Italy_Friuli_Venezia_Giulia Confirmed cc1=  .994218 cc2=  .640664 lx=  6.66682 if=  43 il=  50 3/12/2020  n=   7 now=    3284 end=        785       167       545 U=     8.24 T=   53.6 p1= -76.1 p2=   418.3 ed=    73 4/4/2020    x1=  43. x2=  50. y1=  1.29 y2=   .44     
GP: Confirmed Italy_Friuli_Venezia_Giulia 3/12/2020        50    3284      785     167      545     1    73 4/4/2020  
AAA1     1 Italy_Friuli_Venezia_Giulia Confirmed cc1=  .992025 cc2=  .614061 lx=  6.23682 if=  44 il=  50 3/12/2020  n=   6 now=    3284 end=        511       167       545 U=     6.53 T=   50.7 p1= -84.4 p2=   642.7 ed=    66 3/28/2020   x1=  44. x2=  50. y1=  1.03 y2=   .11 BEST
AAA2     1 Italy_Friuli_Venezia_Giulia Confirmed cc1=  .992025 cc2=  .614061 lx=  6.23982 if=  44 il=  50 3/12/2020  n=   6 now=    3284 end=        511       167       545 U=     6.53 T=   50.7 p1= -84.4 p2=   642.7 ed=    66 3/28/2020   x1=  44. x2=  50. y1=  1.03 y2=   .11 BEST
