TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        4361.00000        8.38046
TAB:  US_Delaware_Sussex Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Delaware_Sussex Confirmed .            40        0     4361        0        0        0        0        0
TAB:  US_Delaware_Sussex Confirmed 3/3/2020     41        0     4361        0        0        0        0        0
TAB:  US_Delaware_Sussex Confirmed .            42        0     4361        0        0        0        0        0
TAB:  US_Delaware_Sussex Confirmed 3/5/2020     43        0     4361        0        0        0        0        0
TAB:  US_Delaware_Sussex Confirmed .            44        0     4361        0        0        0        0        0
TAB:  US_Delaware_Sussex Confirmed 3/7/2020     45        0     4361        0        0        0        0        0
TAB:  US_Delaware_Sussex Confirmed .            46        0     4361        0        0        0        0        0
TAB:  US_Delaware_Sussex Confirmed 3/9/2020     47        0     4361        0        0        0        0        0
TAB:  US_Delaware_Sussex Confirmed .            48        0     4361        0        0        0        0        0
TAB:  US_Delaware_Sussex Confirmed 3/11/2020    49        0     4361        0        0        0        0        0
TAB:  US_Delaware_Sussex Confirmed .            50        0     4361        0        0        0        0        0
TAB:  US_Delaware_Sussex Confirmed 3/13/2020    51        0     4361        0        0        0        0        0
TAB:  US_Delaware_Sussex Confirmed .            52        0     4361        0        0        0        0        0
TAB:  US_Delaware_Sussex Confirmed 3/15/2020    53        0     4361        0        0        0        0        0
TAB:  US_Delaware_Sussex Confirmed .            54        0     4361        0        0        0        0        0
TAB:  US_Delaware_Sussex Confirmed 3/17/2020    55        1     4361        0        0        0        0        0
TAB:  US_Delaware_Sussex Confirmed .            56        1     4361        0        0        0        0        0
TAB:  US_Delaware_Sussex Confirmed 3/19/2020    57        3     4361        0        0        0        0        0
TAB:  US_Delaware_Sussex Confirmed .            58        7     4361        0        0        0        0        0
TAB:  US_Delaware_Sussex Confirmed 3/21/2020    59        8     4361        0        0        0        0        0
TAB:  US_Delaware_Sussex Confirmed .            60       12     4361        0        0        0        0        0
TAB:  US_Delaware_Sussex Confirmed 3/23/2020    61       18     4361        0        0        0        0        0
TAB:  US_Delaware_Sussex Confirmed .            62       23     4361        0        0        0        0        0
TAB:  US_Delaware_Sussex Confirmed 3/25/2020    63       26     4361        0        0        0        0        0
TAB:  US_Delaware_Sussex Confirmed .            64       27     4361        0        0        0        0        0
TAB:  US_Delaware_Sussex Confirmed 3/27/2020    65       37     4361       78        4       78      102      102
TAB:  US_Delaware_Sussex Confirmed .            66       59     4361      241        2      241      725      725
TAB:  US_Delaware_Sussex Confirmed 3/29/2020    67       66     4361      241        2      241      725      725
TAB:  US_Delaware_Sussex Confirmed .            68       81     4361      241        2      241    23120      886
TAB:  US_Delaware_Sussex Confirmed 3/31/2020    69       88     4361       80        2       80     6364      725
TAB:  US_Delaware_Sussex Confirmed .            70      101     4361      137        1      137     1840      300
TAB:  US_Delaware_Sussex Confirmed 4/2/2020     71      105     4361      123        1      123      391      242
TAB:  US_Delaware_Sussex Confirmed .            72      117     4361      249        2      145      305      185
TAB:  US_Delaware_Sussex Confirmed 4/4/2020     73      125     4361      235        2      153      275      192
TAB:  US_Delaware_Sussex Confirmed .            74      151     4361      280        1      280      329      322
TAB:  US_Delaware_Sussex Confirmed 4/6/2020     75      159     4361      241        4      241     1530      402
TAB:  US_Delaware_Sussex Confirmed .            76      210     4361      463        1      463      796      706
TAB:  US_Delaware_Sussex Confirmed 4/8/2020     77      279     4361     1508        1     1508     2653     2521
TAB:  US_Delaware_Sussex Confirmed .            78      294     4361     1852        1     1852    12969     3625
TAB:  US_Delaware_Sussex Confirmed 4/10/2020    79      336     4361      563        1      563    20542     5075
TAB:  US_Delaware_Sussex Confirmed .            80      404     4361     1369        1     1369    20542     7491
TAB:  US_Delaware_Sussex Confirmed 4/12/2020    81      464     4361     1047        1     1047    14258     5236
TAB:  US_Delaware_Sussex Confirmed .            82      551     4361     2497        1     2497    27470     7975
TAB:  US_Delaware_Sussex Confirmed 4/14/2020    83      639     4361     4752        2     3947    12808    12164
TAB:  US_Delaware_Sussex Confirmed .            84      678     4361     2980        2     1369    13936     5558
TAB:  US_Delaware_Sussex Confirmed 4/16/2020    85      698     4361      725        1      725    12969     2497
TAB:  US_Delaware_Sussex Confirmed .            86      811     4361     2497        2     1530    15869     5075
TAB:  US_Delaware_Sussex Confirmed 4/18/2020    87      886     4361     2497        2     1691    30047     4430
TAB:  US_Delaware_Sussex Confirmed .            88      970     4361     2336        2     2013    27792     4108
TAB:  US_Delaware_Sussex Confirmed 4/20/2020    89     1055     4361     2497        2     2497    29403     5719
TAB:  US_Delaware_Sussex Confirmed .            90     1139     4361     2819        3     1852    25536     5236
TAB:  US_Delaware_Sussex Confirmed 4/22/2020    91     1317     4361     4269        1     4269    26986     6847
TAB:  US_Delaware_Sussex Confirmed .            92     1377     4361     5558        3     4430    28275     9586
TAB:  US_Delaware_Sussex Confirmed 4/24/2020    93     1394     4361     1530        1     1530    31659     7330
TAB:  US_Delaware_Sussex Confirmed .            94     1490     4361     3930        3     1798    23382     7128
TAB:  US_Delaware_Sussex Confirmed 4/26/2020    95     1801     4361     5880        2     5880    30692    15064
TAB:  US_Delaware_Sussex Confirmed .            96     1870     4361     6686        3     6686    27147    17803
TAB:  US_Delaware_Sussex Confirmed 4/28/2020    97     2114     4361     9102        2     8619    31014    18286
TAB:  US_Delaware_Sussex Confirmed .            98     2169     4361     9586        2     2819    27792    16192
TAB:  US_Delaware_Sussex Confirmed 4/30/2020    99     2216     4361     8941        3     2336    26181    15386
TAB:  US_Delaware_Sussex Confirmed .           100     2292     4361     2497        3     2336    20703    11841
TAB:  US_Delaware_Sussex Confirmed 5/2/2020    101     2359     4361     2514        3     2514    16200     9110
TAB:  US_Delaware_Sussex Confirmed .           102     2461     4361     2819        3     2658    14419     8297
TAB:  US_Delaware_Sussex Confirmed 5/4/2020    103     2497     4361     2819        3     2658    12647     6686
TAB:  US_Delaware_Sussex Confirmed .           104     2520     4361     2653        2     2598    10751     5663
TAB:  US_Delaware_Sussex Confirmed 5/6/2020    105     2764     4361    10025        3     3661    10025     5883
TAB:  US_Delaware_Sussex Confirmed .           106     2834     4361     5344        3     3884     9347     6003
TAB:  US_Delaware_Sussex Confirmed 5/8/2020    107     2936     4361     5236        5     3947     8941     6202
TAB:  US_Delaware_Sussex Confirmed .           108     2990     4361     5075        4     3141     8297     5719
TAB:  US_Delaware_Sussex Confirmed 5/10/2020   109     3040     4361     4914        4     3141     7814     5719
TAB:  US_Delaware_Sussex Confirmed .           110     3091     4361     4752        5     3141     7330     5236
TAB:  US_Delaware_Sussex Confirmed 5/12/2020   111     3205     4361     4752        5     3786     9908     5397
TAB:  US_Delaware_Sussex Confirmed .           112     3336     4361     4752        8     4269    14419     5880
TAB:  US_Delaware_Sussex Confirmed 5/14/2020   113     3503     4361     4752        6     4752    10875     6041
TAB:  US_Delaware_Sussex Confirmed .           114     3565     4361     5075        7     4914    28920     6202
TAB:  US_Delaware_Sussex Confirmed 5/16/2020   115     3658     4361     5236       11     4108    25375     6202
TAB:  US_Delaware_Sussex Confirmed .           116     3739     4361     5236        9     4108    25053     6041
TAB:  US_Delaware_Sussex Confirmed 5/18/2020   117     3861     4361     5397       12     4752    24408     6202
TAB:  US_Delaware_Sussex Confirmed .           118     3904     4361     5558       14     4430    24892     6364
TAB:  US_Delaware_Sussex Confirmed 5/20/2020   119     3960     4361     5557       10     4181    14661     6086
TAB:  US_Delaware_Sussex Confirmed .           120     4006     4361     5458       12     4135    10486     5921
TAB:  US_Delaware_Sussex Confirmed 5/22/2020   121     4048     4361     5507       12     4197     8370     5750
TAB:  US_Delaware_Sussex Confirmed .           122     4048     4361     5378       10     4144     6959     5532
TAB:  US_Delaware_Sussex Confirmed 5/24/2020   123     4103     4361     5326       11     4231     6388     5492
TAB:  US_Delaware_Sussex Confirmed .           124     4118     4361     5276       14     4235     5900     5365
TAB:  US_Delaware_Sussex Confirmed 5/26/2020   125     4132     4361     4226       10     4197     5697     5207
TAB:  US_Delaware_Sussex Confirmed .           126     4140     4361     5012        8     4155     5669     5155
TAB:  US_Delaware_Sussex Confirmed 5/28/2020   127     4151     4361     4185       11     4185     5529     5053
TAB:  US_Delaware_Sussex Confirmed .           128     4155     4361     4184       13     4184     5446     4952
TAB:  US_Delaware_Sussex Confirmed 5/30/2020   129     4215     4361     4958        5     4306     5393     4904
TAB:  US_Delaware_Sussex Confirmed .           130     4253     4361     4913        5     4407     5286     4859
TAB:  US_Delaware_Sussex Confirmed 6/1/2020    131     4272     4361     4752       11     4430     5236     4914
TAB:  US_Delaware_Sussex Confirmed .           132     4299     4361     4816        5     4398     5181     4764
TAB:  US_Delaware_Sussex Confirmed 6/3/2020    133     4305     4361     4768        5     4329     5104     4716
TAB:  US_Delaware_Sussex Confirmed .           134     4314     4361     4541        5     4362     5078     4720
TAB:  US_Delaware_Sussex Confirmed 6/5/2020    135     4322     4361     4369        5     4369     5028     4673
TAB:  US_Delaware_Sussex Confirmed .           136     4342     4361     4450        6     4398     5025     4711
TAB:  US_Delaware_Sussex Confirmed 6/7/2020    137     4346     4361     4430       20     4430     4914     4752
TAB:  US_Delaware_Sussex Confirmed .           138     4353     4361     4430       24     4430     4914     4752
TAB:  US_Delaware_Sussex Confirmed 6/9/2020    139     4361     4361     4490       10     4393     4807     4636
AAA2     1 US_Delaware_Sussex Confirmed cc1=  .975701 cc2=  .567453 lx=  4.38046 if=  55 il=  60 3/22/2020  n=   5 now=    4361 end=         79        12         0 U=     5.97 T=   63.8 p1= -98.2 p2=  5520.3 ed=    77 4/8/2020    x1=  55. x2=  60. y1=  1.48 y2=   .64     
GP: Confirmed US_Delaware_Sussex 3/22/2020        60    4361       79      12        0     0    77 4/8/2020  
AAA2     1 US_Delaware_Sussex Confirmed cc1=  .984852 cc2=  .606887 lx=  4.38046 if=  55 il=  61 3/23/2020  n=   6 now=    4361 end=         79        18         0 U=     5.56 T=   63.2 p1= -98.2 p2=  5520.3 ed=    76 4/7/2020    x1=  55. x2=  61. y1=  1.48 y2=   .40     
GP: Confirmed US_Delaware_Sussex 3/23/2020        61    4361       79      18        0     0    76 4/7/2020  
AAA2     1 US_Delaware_Sussex Confirmed cc1=  .985934 cc2=  .577685 lx=  4.38046 if=  56 il=  61 3/23/2020  n=   5 now=    4361 end=         79        18         0 U=     4.64 T=   62.8 p1= -98.2 p2=  5520.3 ed=    73 4/4/2020    x1=  56. x2=  61. y1=  1.48 y2=   .40     
GP: Confirmed US_Delaware_Sussex 3/23/2020        61    4361       79      18        0     0    73 4/4/2020  
AAA2     1 US_Delaware_Sussex Confirmed cc1=  .989914 cc2=  .636361 lx=  4.38046 if=  55 il=  62 3/24/2020  n=   7 now=    4361 end=         79        23         0 U=     5.56 T=   63.2 p1= -98.2 p2=  5520.3 ed=    76 4/7/2020    x1=  55. x2=  62. y1=  1.48 y2=   .22     
GP: Confirmed US_Delaware_Sussex 3/24/2020        62    4361       79      23        0     0    76 4/7/2020  
AAA2     1 US_Delaware_Sussex Confirmed cc1=  .990777 cc2=  .612813 lx=  4.38046 if=  56 il=  62 3/24/2020  n=   6 now=    4361 end=         79        23         0 U=     4.77 T=   63.0 p1= -98.2 p2=  5520.3 ed=    74 4/5/2020    x1=  56. x2=  62. y1=  1.48 y2=   .22     
GP: Confirmed US_Delaware_Sussex 3/24/2020        62    4361       79      23        0     0    74 4/5/2020  
AAA2     1 US_Delaware_Sussex Confirmed cc1=  .990420 cc2=  .582172 lx=  4.38046 if=  57 il=  62 3/24/2020  n=   5 now=    4361 end=         79        23         0 U=     5.16 T=   63.1 p1= -98.2 p2=  5520.3 ed=    75 4/6/2020    x1=  57. x2=  62. y1=  1.19 y2=   .22     
GP: Confirmed US_Delaware_Sussex 3/24/2020        62    4361       79      23        0     0    75 4/6/2020  
AAA2     1 US_Delaware_Sussex Confirmed cc1=  .991630 cc2=  .658297 lx=  4.38046 if=  55 il=  63 3/25/2020  n=   8 now=    4361 end=         79        26         0 U=     5.87 T=   63.7 p1= -98.2 p2=  5520.3 ed=    77 4/8/2020    x1=  55. x2=  63. y1=  1.48 y2=   .12     
GP: Confirmed US_Delaware_Sussex 3/25/2020        63    4361       79      26        0     0    77 4/8/2020  
AAA2     1 US_Delaware_Sussex Confirmed cc1=  .991003 cc2=  .637450 lx=  4.38046 if=  56 il=  63 3/25/2020  n=   7 now=    4361 end=         79        26         0 U=     5.14 T=   63.6 p1= -98.2 p2=  5520.3 ed=    75 4/6/2020    x1=  56. x2=  63. y1=  1.48 y2=   .12     
GP: Confirmed US_Delaware_Sussex 3/25/2020        63    4361       79      26        0     0    75 4/6/2020  
AAA2     1 US_Delaware_Sussex Confirmed cc1=  .991933 cc2=  .613969 lx=  4.38046 if=  57 il=  63 3/25/2020  n=   6 now=    4361 end=         79        26         0 U=     5.59 T=   63.6 p1= -98.2 p2=  5520.3 ed=    76 4/7/2020    x1=  57. x2=  63. y1=  1.19 y2=   .12     
GP: Confirmed US_Delaware_Sussex 3/25/2020        63    4361       79      26        0     0    76 4/7/2020  
AAA2     1 US_Delaware_Sussex Confirmed cc1=  .988952 cc2=  .580703 lx=  4.38046 if=  58 il=  63 3/25/2020  n=   5 now=    4361 end=         79        26         0 U=     6.46 T=   63.7 p1= -98.2 p2=  5520.3 ed=    78 4/9/2020    x1=  58. x2=  63. y1=   .89 y2=   .12     
GP: Confirmed US_Delaware_Sussex 3/25/2020        63    4361       79      26        0     0    78 4/9/2020  
AAA2     1 US_Delaware_Sussex Confirmed cc1=  .988098 cc2=  .671870 lx=  4.38046 if=  55 il=  64 3/26/2020  n=   9 now=    4361 end=         79        27         0 U=     6.45 T=   64.5 p1= -98.2 p2=  5520.3 ed=    79 4/10/2020   x1=  55. x2=  64. y1=  1.48 y2=   .08     
GP: Confirmed US_Delaware_Sussex 3/26/2020        64    4361       79      27        0     0    79 4/10/2020 
AAA2     1 US_Delaware_Sussex Confirmed cc1=  .984746 cc2=  .651412 lx=  4.38046 if=  56 il=  64 3/26/2020  n=   8 now=    4361 end=         79        27         0 U=     5.73 T=   64.5 p1= -98.2 p2=  5520.3 ed=    77 4/8/2020    x1=  56. x2=  64. y1=  1.48 y2=   .08     
GP: Confirmed US_Delaware_Sussex 3/26/2020        64    4361       79      27        0     0    77 4/8/2020  
AAA2     1 US_Delaware_Sussex Confirmed cc1=  .985123 cc2=  .631570 lx=  4.38046 if=  57 il=  64 3/26/2020  n=   7 now=    4361 end=         79        27         0 U=     6.32 T=   64.5 p1= -98.2 p2=  5520.3 ed=    79 4/10/2020   x1=  57. x2=  64. y1=  1.19 y2=   .08     
GP: Confirmed US_Delaware_Sussex 3/26/2020        64    4361       79      27        0     0    79 4/10/2020 
AAA2     1 US_Delaware_Sussex Confirmed cc1=  .981279 cc2=  .603314 lx=  4.38046 if=  58 il=  64 3/26/2020  n=   6 now=    4361 end=         79        27         0 U=     7.42 T=   64.6 p1= -98.2 p2=  5520.3 ed=    82 4/13/2020   x1=  58. x2=  64. y1=   .89 y2=   .08     
GP: Confirmed US_Delaware_Sussex 3/26/2020        64    4361       79      27        0     0    82 4/13/2020 
AAA2     1 US_Delaware_Sussex Confirmed cc1=  .973194 cc2=  .564945 lx=  4.38046 if=  59 il=  64 3/26/2020  n=   5 now=    4361 end=         79        27         0 U=     6.65 T=   64.5 p1= -98.2 p2=  5520.3 ed=    80 4/11/2020   x1=  59. x2=  64. y1=   .83 y2=   .08     
GP: Confirmed US_Delaware_Sussex 3/26/2020        64    4361       79      27        0     0    80 4/11/2020 
AAA1     1 US_Delaware_Sussex Confirmed cc1=  .991058 cc2=  .689546 lx=  4.38046 if=  55 il=  65 3/27/2020  n=  10 now=    4361 end=         79        37        78 U=     5.75 T=   63.5 p1= -98.2 p2=  5520.3 ed=    77 4/8/2020    x1=  55. x2=  65. y1=  1.48 y2=  -.26 BEST
AAA2     1 US_Delaware_Sussex Confirmed cc1=  .991439 cc2=  .689546 lx=  4.28046 if=  55 il=  65 3/27/2020  n=  10 now=    4361 end=         79        37        78 U=     5.75 T=   63.5 p1= -98.2 p2=  5520.3 ed=    77 4/8/2020    x1=  55. x2=  65. y1=  1.48 y2=  -.26 BEST
GP: Confirmed US_Delaware_Sussex 3/27/2020        65    4361       79      37       78     4    77 4/8/2020  
AAA1     1 US_Delaware_Sussex Confirmed cc1=  .988929 cc2=  .672701 lx=  4.38046 if=  56 il=  65 3/27/2020  n=   9 now=    4361 end=         79        37        78 U=     5.18 T=   63.6 p1= -98.2 p2=  5520.3 ed=    75 4/6/2020    x1=  56. x2=  65. y1=  1.48 y2=  -.26 BEST
AAA2     1 US_Delaware_Sussex Confirmed cc1=  .989729 cc2=  .672701 lx=  4.28046 if=  56 il=  65 3/27/2020  n=   9 now=    4361 end=         79        37        78 U=     5.18 T=   63.6 p1= -98.2 p2=  5520.3 ed=    75 4/6/2020    x1=  56. x2=  65. y1=  1.48 y2=  -.26 BEST
GP: Confirmed US_Delaware_Sussex 3/27/2020        65    4361       79      37       78     4    75 4/6/2020  
AAA1     1 US_Delaware_Sussex Confirmed cc1=  .989149 cc2=  .655816 lx=  4.38046 if=  57 il=  65 3/27/2020  n=   8 now=    4361 end=         79        37        78 U=     5.52 T=   63.6 p1= -98.2 p2=  5520.3 ed=    76 4/7/2020    x1=  57. x2=  65. y1=  1.19 y2=  -.26 BEST
AAA2     1 US_Delaware_Sussex Confirmed cc1=  .989203 cc2=  .655816 lx=  4.31646 if=  57 il=  65 3/27/2020  n=   8 now=    4361 end=         79        37        78 U=     5.52 T=   63.6 p1= -98.2 p2=  5520.3 ed=    76 4/7/2020    x1=  57. x2=  65. y1=  1.19 y2=  -.26 BEST
GP: Confirmed US_Delaware_Sussex 3/27/2020        65    4361       79      37       78     4    76 4/7/2020  
AAA2     1 US_Delaware_Sussex Confirmed cc1=  .986310 cc2=  .632757 lx=  4.63046 if=  58 il=  65 3/27/2020  n=   7 now=    4361 end=        102        37        78 U=     7.23 T=   65.1 p1= -97.7 p2=  4275.5 ed=    82 4/13/2020   x1=  58. x2=  65. y1=   .99 y2=   .02     
GP: Confirmed US_Delaware_Sussex 3/27/2020        65    4361      102      37       78     4    82 4/13/2020 
AAA1     1 US_Delaware_Sussex Confirmed cc1=  .982144 cc2=  .604179 lx=  4.38046 if=  59 il=  65 3/27/2020  n=   6 now=    4361 end=         79        37        78 U=     5.48 T=   63.6 p1= -98.2 p2=  5520.3 ed=    76 4/7/2020    x1=  59. x2=  65. y1=   .83 y2=  -.26 BEST
AAA2     1 US_Delaware_Sussex Confirmed cc1=  .982144 cc2=  .604179 lx=  4.37746 if=  59 il=  65 3/27/2020  n=   6 now=    4361 end=         79        37        78 U=     5.48 T=   63.6 p1= -98.2 p2=  5520.3 ed=    76 4/7/2020    x1=  59. x2=  65. y1=   .83 y2=  -.26 BEST
GP: Confirmed US_Delaware_Sussex 3/27/2020        65    4361       79      37       78     4    76 4/7/2020  
AAA2     1 US_Delaware_Sussex Confirmed cc1=  .973071 cc2=  .564822 lx=  4.70046 if=  60 il=  65 3/27/2020  n=   5 now=    4361 end=        109        37        78 U=     7.04 T=   65.6 p1= -97.5 p2=  4000.9 ed=    82 4/13/2020   x1=  60. x2=  65. y1=   .80 y2=   .09     
GP: Confirmed US_Delaware_Sussex 3/27/2020        65    4361      109      37       78     4    82 4/13/2020 
AAA1     1 US_Delaware_Sussex Confirmed cc1=  .985416 cc2=  .696741 lx=  5.46046 if=  55 il=  66 3/28/2020  n=  11 now=    4361 end=        235        59       241 U=     8.01 T=   68.6 p1= -94.6 p2=  1855.7 ed=    87 4/18/2020   x1=  55. x2=  66. y1=  1.70 y2=   .32 BEST
AAA2     1 US_Delaware_Sussex Confirmed cc1=  .985416 cc2=  .696741 lx=  5.46146 if=  55 il=  66 3/28/2020  n=  11 now=    4361 end=        235        59       241 U=     8.01 T=   68.6 p1= -94.6 p2=  1855.7 ed=    87 4/18/2020   x1=  55. x2=  66. y1=  1.70 y2=   .32 BEST
GP: Confirmed US_Delaware_Sussex 3/28/2020        66    4361      235      59      241     2    87 4/18/2020 
AAA1     1 US_Delaware_Sussex Confirmed cc1=  .981276 cc2=  .679764 lx=  5.38046 if=  56 il=  66 3/28/2020  n=  10 now=    4361 end=        217        59       241 U=     7.05 T=   67.9 p1= -95.0 p2=  2009.7 ed=    84 4/15/2020   x1=  56. x2=  66. y1=  1.68 y2=   .26 BEST
AAA2     1 US_Delaware_Sussex Confirmed cc1=  .981276 cc2=  .679764 lx=  5.38246 if=  56 il=  66 3/28/2020  n=  10 now=    4361 end=        217        59       241 U=     7.05 T=   67.9 p1= -95.0 p2=  2009.7 ed=    84 4/15/2020   x1=  56. x2=  66. y1=  1.68 y2=   .26 BEST
GP: Confirmed US_Delaware_Sussex 3/28/2020        66    4361      217      59      241     2    84 4/15/2020 
AAA2     1 US_Delaware_Sussex Confirmed cc1=  .982575 cc2=  .666347 lx=  6.57046 if=  57 il=  66 3/28/2020  n=   9 now=    4361 end=        713        59       241 U=    11.45 T=   76.5 p1= -83.7 p2=   611.6 ed=   103 5/4/2020    x1=  57. x2=  66. y1=  1.70 y2=   .91     
GP: Confirmed US_Delaware_Sussex 3/28/2020        66    4361      713      59      241     2   103 5/4/2020  
AAA2     1 US_Delaware_Sussex Confirmed cc1=  .983109 cc2=  .649775 lx= 10.38046 if=  58 il=  66 3/28/2020  n=   8 now=    4361 end=      32223        59       241 U=    27.46 T=  116.6 p1= 638.9 p2=    13.5 ed=   181 7/21/2020   x1=  58. x2=  66. y1=  2.13 y2=  1.84     
GP: Confirmed US_Delaware_Sussex 3/28/2020        66    4361    -          59      241     2   181 7/21/2020 
AAA2     1 US_Delaware_Sussex Confirmed cc1=  .976498 cc2=  .622944 lx= 10.38046 if=  59 il=  66 3/28/2020  n=   7 now=    4361 end=      32223        59       241 U=    25.42 T=  112.8 p1= 638.9 p2=    13.5 ed=   172 7/12/2020   x1=  59. x2=  66. y1=  2.12 y2=  1.84     
GP: Confirmed US_Delaware_Sussex 3/28/2020        66    4361    -          59      241     2   172 7/12/2020 
AAA2     1 US_Delaware_Sussex Confirmed cc1=  .966791 cc2=  .588827 lx= 10.38046 if=  60 il=  66 3/28/2020  n=   6 now=    4361 end=      32223        59       241 U=    26.63 T=  115.0 p1= 638.9 p2=    13.5 ed=   177 7/17/2020   x1=  60. x2=  66. y1=  2.07 y2=  1.84     
GP: Confirmed US_Delaware_Sussex 3/28/2020        66    4361    -          59      241     2   177 7/17/2020 
AAA2     1 US_Delaware_Sussex Confirmed cc1=  .946353 cc2=  .538104 lx= 10.38046 if=  61 il=  66 3/28/2020  n=   5 now=    4361 end=      32223        59       241 U=    28.97 T=  119.3 p1= 638.9 p2=    13.5 ed=   187 7/27/2020   x1=  61. x2=  66. y1=  2.01 y2=  1.84     
GP: Confirmed US_Delaware_Sussex 3/28/2020        66    4361    -          59      241     2   187 7/27/2020 
AAA1     1 US_Delaware_Sussex Confirmed cc1=  .988419 cc2=  .711069 lx=  5.59046 if=  55 il=  67 3/29/2020  n=  12 now=    4361 end=        267        66       241 U=     8.67 T=   69.9 p1= -93.9 p2=  1633.3 ed=    90 4/21/2020   x1=  55. x2=  67. y1=  1.72 y2=   .34 BEST
AAA2     1 US_Delaware_Sussex Confirmed cc1=  .988419 cc2=  .711069 lx=  5.58746 if=  55 il=  67 3/29/2020  n=  12 now=    4361 end=        267        66       241 U=     8.67 T=   69.9 p1= -93.9 p2=  1633.3 ed=    90 4/21/2020   x1=  55. x2=  67. y1=  1.72 y2=   .34 BEST
GP: Confirmed US_Delaware_Sussex 3/29/2020        67    4361      267      66      241     2    90 4/21/2020 
AAA1     1 US_Delaware_Sussex Confirmed cc1=  .985425 cc2=  .696750 lx=  5.51046 if=  56 il=  67 3/29/2020  n=  11 now=    4361 end=        247        66       241 U=     7.70 T=   69.1 p1= -94.3 p2=  1765.6 ed=    87 4/18/2020   x1=  56. x2=  67. y1=  1.71 y2=   .28 BEST
