TAB:  US_Massachusetts_Essex Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Massachusetts_Essex Confirmed 4/16/2020    85     4245    15271     8744        7     8744    20592    14951
TAB:  US_Massachusetts_Essex Confirmed .            86     4584    15271     9309        6     9309    22285    13822
TAB:  US_Massachusetts_Essex Confirmed 4/18/2020    87     4914    15271     9873        6     9873    26799    14951
TAB:  US_Massachusetts_Essex Confirmed .            88     5153    15271    10437        7     8180    25106    14951
TAB:  US_Massachusetts_Essex Confirmed 4/20/2020    89     5337    15271    10357        4     6193    17436    12856
TAB:  US_Massachusetts_Essex Confirmed .            90     5521    15271    10425        3     6176    15460    11290
TAB:  US_Massachusetts_Essex Confirmed 4/22/2020    91     5783    15271    10349        3     7008    14271    10640
TAB:  US_Massachusetts_Essex Confirmed .            92     6219    15271    10661        4     9874    14673    11762
TAB:  US_Massachusetts_Essex Confirmed 4/24/2020    93     6841    15271    11620        4    11620    36163    16082
TAB:  US_Massachusetts_Essex Confirmed .            94     7212    15271    12130        5    12130   101836    18900
TAB:  US_Massachusetts_Essex Confirmed 4/26/2020    95     7489    15271    12694        5    12130    96194    19464
TAB:  US_Massachusetts_Essex Confirmed .            96     7708    15271    13258        8     8180    55008    19464
TAB:  US_Massachusetts_Essex Confirmed 4/28/2020    97     7972    15271    13822        7     8744    56136    18900
TAB:  US_Massachusetts_Essex Confirmed .            98     8380    15271    13822       10     9873    82089    19464
TAB:  US_Massachusetts_Essex Confirmed 4/30/2020    99     8673    15271    13822        7    11001    97886    18900
TAB:  US_Massachusetts_Essex Confirmed .           100     9028    15271    14386        8    12130    27927    18900
TAB:  US_Massachusetts_Essex Confirmed 5/2/2020    101     9362    15271    14951        8    13258    33569    18900
TAB:  US_Massachusetts_Essex Confirmed .           102     9542    15271    14951       11    11565    33569    18336
TAB:  US_Massachusetts_Essex Confirmed 5/4/2020    103     9773    15271    18603        8    10976    20252    15923
TAB:  US_Massachusetts_Essex Confirmed .           104     9979    15271    14943        6    11003    18883    15616
TAB:  US_Massachusetts_Essex Confirmed 5/6/2020    105    10344    15271    18336       12    13258    18900    16079
TAB:  US_Massachusetts_Essex Confirmed .           106    10610    15271    18336       11    13822    20028    16643
TAB:  US_Massachusetts_Essex Confirmed 5/8/2020    107    10995    15271    18336       14    14951    32440    18336
TAB:  US_Massachusetts_Essex Confirmed .           108    11211    15271    18336       14    15515    96194    18336
TAB:  US_Massachusetts_Essex Confirmed 5/10/2020   109    11353    15271    15515       11    12130    26234    17771
TAB:  US_Massachusetts_Essex Confirmed .           110    11432    15271    15701        9    11629    17783    16244
TAB:  US_Massachusetts_Essex Confirmed 5/12/2020   111    11572    15271    15608        7    11869    17260    15608
TAB:  US_Massachusetts_Essex Confirmed .           112    11703    15271    15554        9    12145    16918    15298
TAB:  US_Massachusetts_Essex Confirmed 5/14/2020   113    11950    15271    16643       16    12694    16643    14951
TAB:  US_Massachusetts_Essex Confirmed .           114    12131    15271    15515       15    13258    16643    14951
TAB:  US_Massachusetts_Essex Confirmed 5/16/2020   115    12314    15271    15515       16    13822    16643    15515
TAB:  US_Massachusetts_Essex Confirmed .           116    12462    15271    15515       17    14386    16643    15515
TAB:  US_Massachusetts_Essex Confirmed 5/18/2020   117    12587    15271    15515       21    13258    16643    14951
TAB:  US_Massachusetts_Essex Confirmed .           118    12748    15271    15515       22    13822    47109    15515
TAB:  US_Massachusetts_Essex Confirmed 5/20/2020   119    12920    15271    15515       25    14951    30184    16643
TAB:  US_Massachusetts_Essex Confirmed .           120    13063    15271    15515       31    14951    28491    17207
TAB:  US_Massachusetts_Essex Confirmed 5/22/2020   121    13221    15271    15515       40    14951    42596    17771
TAB:  US_Massachusetts_Essex Confirmed .           122    13334    15271    15604       18    14962    25493    16374
TAB:  US_Massachusetts_Essex Confirmed 5/24/2020   123    13457    15271    15607       16    14535    18504    16036
TAB:  US_Massachusetts_Essex Confirmed .           124    13575    15271    15578       20    14802    17520    15870
TAB:  US_Massachusetts_Essex Confirmed 5/26/2020   125    13670    15271    15611       20    14706    17059    15701
TAB:  US_Massachusetts_Essex Confirmed .           126    13778    15271    15608       22    14999    16564    15608
TAB:  US_Massachusetts_Essex Confirmed 5/28/2020   127    13899    15271    15539       22    15245    19264    15931
TAB:  US_Massachusetts_Essex Confirmed .           128    13994    15271    15790       22    15373    18155    16208
TAB:  US_Massachusetts_Essex Confirmed 5/30/2020   129    14099    15271    15764       24    15606    21943    16398
TAB:  US_Massachusetts_Essex Confirmed .           130    14225    15271    15515       36    15515    26234    17207
TAB:  US_Massachusetts_Essex Confirmed 6/1/2020    131    14721    15271    16079       40    16079    82653    19464
TAB:  US_Massachusetts_Essex Confirmed .           132    14795    15271    16643       32    16079    97322    19464
TAB:  US_Massachusetts_Essex Confirmed 6/3/2020    133    14857    15271    16643       34    14951   109734    20028
TAB:  US_Massachusetts_Essex Confirmed .           134    14969    15271    16643       42    14951    84346    20028
TAB:  US_Massachusetts_Essex Confirmed 6/5/2020    135    15064    15271    16643       39    15515    57265    20028
TAB:  US_Massachusetts_Essex Confirmed .           136    15170    15271    16643       35    15515    83782    20028
TAB:  US_Massachusetts_Essex Confirmed 6/7/2020    137    15217    15271    16643       34    15515    68549    20028
TAB:  US_Massachusetts_Essex Confirmed .           138    15236    15271    16643       33    15515    76447    22285
TAB:  US_Massachusetts_Essex Confirmed 6/9/2020    139    15271    15271    16836       18    15395    25746    18671
